"RA_J2000","DE_J2000"
5.18084,16.4286
4.33446,23.5988
4.51959,18.8199
3.18364,9.98965
5.26553,21.822
5.24231,18.6232
5.01313,4.56764
3.44994,23.7766
4.9164,5.38197
3.24811,15.5271
3.58869,11.3968
5.91953,7.40706
4.49241,13.8947
5.02128,4.11028
5.62741,21.1425
5.65762,3.95074
3.5387,4.65013
3.81937,24.0534
3.74793,24.1133
3.79141,24.1051
3.76378,24.3677
3.7721,23.9484
4.75773,19.3489
3.72978,19.665
4.80435,23.7632
3.16566,6.70482
5.15963,24.3253
5.16582,5.55743
4.32686,21.7735
3.94336,6.71056
5.94707,11.5211
3.60676,20.0676
3.26753,11.6284
4.77134,18.7347
3.51558,18.7994
4.61194,3.5142
4.57689,6.52368
4.60489,21.6892
4.15277,19.6092
3.35189,3.67562
5.51307,5.94814
4.21971,16.7668
4.20871,17.2775
4.35284,6.10354
3.01605,5.28794
3.62297,18.5969
3.03766,18.3292
3.25213,16.3034
4.32392,21.1423
4.76715,11.7056
5.69632,22.8704
3.03072,16.518
3.42527,17.1426
5.26203,12.8793
3.70974,6.98669
4.57388,12.7342
3.41399,12.2566
3.887,7.7705
4.70417,9.63382
5.91018,11.4855
4.2432,22.3512
3.98342,9.78169
4.32906,14.2737
2.94964,10.481
3.00143,10.656
4.24982,5.17764
5.09705,13.2861
4.38801,11.3779
3.95048,6.03997
4.83001,23.3958
4.8142,5.54446
5.58901,13.2844
3.74117,20.9287
5.41885,6.3497
3.81582,23.8571
5.98253,18.9799
4.9364,13.9754
5.21167,23.8933
3.04095,22.3735
3.1601,5.20288
4.92298,5.63639
5.55254,15.9437
4.61857,22.2843
5.66937,12.1781
3.47405,22.804
4.09046,19.4422
4.91621,19.4854
3.45282,9.73268
3.65474,13.8915
5.95049,15.7414
3.30126,6.48433
4.94326,23.2957
3.03799,4.08973
4.90085,17.0268
6.05413,19.3607
3.8108,21.0566
4.41201,4.69995
4.53124,15.4995
3.3427,12.3466
3.27851,15.6572
3.69119,12.6079
4.45017,19.1177
4.45617,7.06249
3.36731,17.24
4.28194,4.5427
5.53969,14.8752
3.608,23.7973
4.79061,23.0509
4.38968,19.6587
5.32128,22.0965
3.22045,3.82111
4.66829,23.3045
5.43974,3.8566
3.92255,19.3809
2.91803,21.5951
5.21258,4.32109
4.01098,20.3804
5.00825,5.09897
3.32167,11.4559
5.88683,11.8142
5.25322,20.0561
4.23559,9.40671
5.95717,21.9809
5.08515,6.13023
4.10636,14.4022
5.01358,4.73311
4.47399,16.3597
4.84353,8.90018
5.13136,8.49843
5.11197,14.0848
3.59416,12.0396
4.85645,15.4335
3.55147,4.95811
4.85624,18.8399
4.46307,14.4177
3.98208,16.9034
2.92564,18.7738
3.30754,15.1773
3.16942,18.3456
4.54046,13.1132
4.66014,13.1231
5.19195,5.70321
5.67156,16.3928
5.48392,10.2493
3.00085,9.17881
4.07825,22.0819
3.23828,9.13091
4.24178,22.4519
4.30645,21.5793
5.34039,11.6098
4.98158,10.5547
4.86588,9.8727
3.28514,24.0352
4.47317,14.741
4.71356,12.2098
5.05213,13.7307
5.36978,5.39531
5.15546,9.82958
5.29187,14.514
5.6177,17.0403
4.91213,12.3522
5.6643,24.2255
5.89965,12.4194
5.52049,15.7735
4.40619,17.079
5.105,17.8164
3.70442,22.7865
5.13011,20.4184
2.92119,17.8917
4.61147,11.9124
4.8732,18.9969
5.33433,13.545
3.1862,9.19637
4.3738,11.3057
4.71452,18.1449
4.8117,21.101
4.84682,16.2105
3.04627,12.354
4.40471,18.0029
3.18676,22.423
4.77511,15.472
3.19382,19.7267
4.65171,7.87098
4.35966,14.4098
4.52482,13.9035
4.26179,20.8198
4.27597,21.9075
4.6803,23.8096
4.35879,21.0399
4.30611,17.4216
4.96375,14.0022
4.82559,15.8887
4.12867,16.5188
3.34361,9.03355
4.87919,14.6231
5.7505,4.00811
2.93538,7.92254
4.09435,17.9377
4.79377,18.2587
4.35896,18.4176
4.50499,19.8406
5.3907,16.9815
4.30535,16.0883
5.0516,21.59
4.72049,24.0889
4.39178,24.4054
4.477,19.7407
4.32691,12.6243
4.85348,11.068
3.29066,7.65581
3.18718,22.4159
4.4806,13.0476
4.41587,19.042
3.74432,10.1779
4.65458,15.918
5.88327,15.1709
5.37853,13.2291
4.48327,16.1591
4.38954,21.3791
4.47625,15.9622
4.40787,16.8862
4.74051,11.1461
4.42988,18.0173
4.64925,14.1056
4.46688,21.6199
4.4391,15.6183
4.41676,11.9779
5.62697,6.11201
4.47694,19.1804
4.56165,19.014
4.43846,22.8136
4.24287,10.7014
4.39036,15.7631
4.48008,17.2855
4.71706,18.7116
4.34031,18.7426
4.32989,15.6276
4.3903,16.7773
4.4628,11.7364
4.34342,15.0955
4.39231,14.6705
4.31889,17.5247
5.45834,18.8456
4.12833,15.1628
4.42282,22.2939
4.38225,17.5425
4.4679,13.8679
4.57506,10.0164
3.84027,17.2465
