"","recno","TYCID1","TYCID2","TYCID3","RA_J2000","DE_J2000","pmRA","pmDE","BT","VT","V","BV","HD","HIP","Plx","indexcandidate","hyades","clusterNum"
"4",3572,51,306,1,2.98565,4.00394,120.2,-110.2,11.28,10.278,10.188,0.852,"NULL","NULL",0,4,0,3
"6",3576,51,365,1,2.99485,4.10045,40.2,0.8,11.472,10.699,10.629,0.657,"NULL","NULL",0,6,0,3
"21",3778,54,146,1,2.95028,5.53028,58.8,-62.9,10.622,9.859,9.79,0.649,"NULL","NULL",0,28,0,3
"23",3782,54,211,1,2.96517,7.43518,57.2,0.1,10.709,9.904,9.832,0.684,"NULL","NULL",0,31,0,3
"24",3784,54,266,1,2.94589,6.33703,71.4,12.1,10.905,10.101,10.029,0.683,"NULL","NULL",0,32,0,3
"27",3788,54,306,1,2.92517,5.93361,75.6,-43.2,11.664,11.009,10.95,0.557,"NULL","NULL",0,35,0,3
"28",3792,54,347,1,2.98356,7.31507,19.3,-15.5,11.02,10.288,10.222,0.622,"NULL","NULL",0,37,0,3
"35",3803,54,455,1,2.96253,6.91314,36.4,-5.3,10.57,10.115,10.074,0.387,"NULL","NULL",0,44,0,3
"50",3825,54,832,1,2.90501,6.77662,38.9,-34.4,11.064,10.553,10.507,0.434,"NULL","NULL",0,59,0,3
"55",3835,54,934,1,2.9092,5.46658,72.6,-27,10.536,9.836,9.773,0.595,"18094","NULL",0,67,0,3
"60",3841,54,1016,1,2.91171,5.42447,4.5,-60.4,11.372,10.605,10.536,0.652,"NULL","NULL",0,73,0,3
"68",4081,58,337,1,3.0505,3.92841,78.1,-66.8,9.831,9.275,9.225,0.473,"NULL","NULL",0,84,0,3
"81",4098,58,688,1,3.06419,3.64896,25.2,-28.4,11.86,10.834,10.742,0.872,"NULL","NULL",0,101,0,3
"84",4101,58,742,1,3.10843,3.73536,5.8,-32.2,11.692,11.002,10.94,0.587,"NULL","NULL",0,104,0,3
"91",4152,59,551,1,3.21416,4.23486,36.8,-13.8,10.95,9.87,9.773,0.918,"NULL","NULL",0,114,0,3
"92",4153,59,579,1,3.28853,4.26479,12.9,-35.8,11.839,10.907,10.823,0.792,"NULL","NULL",0,115,0,3
"95",4157,59,622,1,3.30531,4.82856,6.8,-78.8,11.536,10.51,10.418,0.872,"NULL","NULL",0,119,0,3
"103",4169,59,848,1,3.33328,4.64777,14.8,-36.5,12.238,10.941,10.824,1.102,"NULL","NULL",0,130,0,3
"105",4171,59,888,1,3.21034,4.57154,33,-51.1,10.899,10.222,10.161,0.575,"NULL","NULL",0,132,0,3
"111",4179,59,1236,1,3.30238,3.74381,-4.2,-51.3,11.36,10.744,10.689,0.524,"NULL","NULL",0,140,0,3
"117",4227,60,601,1,3.35448,3.461,55.3,-62.7,9.709,8.3,8.173,1.198,"20801","NULL",0,151,0,3
"119",4229,60,681,1,3.4129,4.92165,54.1,-18.1,11.21,9.891,9.772,1.121,"NULL","NULL",0,153,0,3
"126",4238,60,907,1,3.49566,3.92762,114.9,-0.5,11.492,10.75,10.683,0.631,"NULL","NULL",0,162,0,3
"129",4241,60,1041,1,3.37775,4.26772,19.7,-33.7,11.067,10.431,10.374,0.541,"NULL","NULL",0,165,0,3
"132",4246,60,1223,1,3.47082,4.16337,45.5,-34.5,10.454,9.642,9.569,0.69,"NULL","NULL",0,169,0,3
"133",4247,60,1232,1,3.40665,4.01909,38.7,-29.4,11.566,10.646,10.563,0.782,"NULL","NULL",0,170,0,3
"137",4254,60,1491,1,3.42005,3.88633,55.7,1,11.526,11.013,10.967,0.436,"NULL","NULL",0,177,0,3
"138",4256,60,1511,1,3.38461,3.8678,99.1,-52.4,12.001,11.119,11.04,0.75,"NULL","NULL",0,179,0,3
"149",4275,61,428,1,3.08284,7.15686,21.6,-29.9,11.58,11.057,11.01,0.445,"NULL","NULL",0,197,0,3
"162",4289,61,605,1,3.01657,5.59341,67.8,-11,11.864,11.277,11.224,0.499,"NULL","NULL",0,211,0,3
"171",4300,61,751,1,3.06939,5.18872,7.1,-29.8,11.283,10.662,10.606,0.528,"NULL","NULL",0,222,0,3
"174",4304,61,844,1,3.02481,7.17435,45.1,-12.1,12.388,11.42,11.333,0.823,"NULL","NULL",0,226,0,3
"193",4330,62,28,1,3.19213,6.83096,33,-35.9,11.826,10.363,10.231,1.244,"NULL","NULL",0,252,0,3
"195",4332,62,71,1,3.26493,6.81998,47.5,4.6,10.933,10.243,10.181,0.587,"NULL","NULL",0,254,0,3
"200",4337,62,217,1,3.29444,7.14697,31.3,-11.8,11.473,10.148,10.029,1.126,"NULL","NULL",0,259,0,3
"201",4339,62,235,1,3.26684,7.46102,43.3,-28.6,12.238,10.281,10.105,1.663,"NULL","NULL",0,261,0,3
"202",4341,62,279,1,3.23449,7.21683,31.4,-41.4,11.905,10.391,10.255,1.287,"NULL","NULL",0,263,0,3
"205",4344,62,319,1,3.31295,7.10458,32.1,-91.6,11.015,10.135,10.056,0.748,"NULL","NULL",0,266,0,3
"207",4349,62,374,1,3.29455,7.22104,54.5,-6.5,10.751,10.073,10.012,0.576,"NULL","NULL",0,271,0,3
"209",4351,62,459,1,3.2272,7.08393,24.3,-83.4,11.25,10.453,10.381,0.677,"NULL","NULL",0,273,0,3
"222",4371,62,1020,1,3.24197,5.74162,163.9,13.8,11.141,10.31,10.235,0.706,"NULL","NULL",0,293,0,3
"225",4375,62,1185,1,3.27615,6.28367,8.6,-33.9,11.603,10.144,10.013,1.24,"NULL","NULL",0,297,0,3
"236",4388,63,6,1,3.40156,7.4908,23.3,-29.8,12.523,10.748,10.588,1.509,"NULL","NULL",0,310,0,3
"237",4389,63,19,1,3.45877,7.36056,29.7,-13.6,11.075,10.607,10.565,0.398,"NULL","NULL",0,311,0,3
"240",4393,63,88,1,3.4892,6.63608,49.1,-54.7,11.281,10.407,10.328,0.743,"NULL","NULL",0,315,0,3
"250",4405,63,415,1,3.46609,7.25505,31.2,-25.1,10.484,9.929,9.879,0.472,"NULL","NULL",0,327,0,3
