i, nrow, alfa, Max_It, b, W1, W2, W3, W4, Ite, Aciertos
0,1,-0.5,100,-399.39,149.13,4600.6,18151,100.14,100,2
1,2,-0.5,200,-99.294,-49.822,-3099.8,-8000.5,0.58217,200,1
2,3,-0.5,300,-149.19,-74.524,-4650.7,-12001,0.47704,300,1
3,4,-0.5,400,-199.15,-99.871,-6200.9,-16000,0.86723,400,1
4,5,-0.5,500,-999.44,500.37,15499,47500,249.16,500,2
5,6,-0.5,600,0.44241,-0.081916,0.33014,-0.13177,-0.93859,1,2
6,7,-0.5,700,-349.17,-175.07,-10851,-28000,-0.39674,700,1
7,8,-0.5,800,-399.27,-199.17,-12400,-32000,-0.81505,800,1
8,9,-0.5,900,-449.48,-224.57,-13950,-36000,0.26134,900,1
9,10,-0.5,1000,-499.97,-249.7,-15499,-40000,0.11509,1000,1
0,11,-0.5,1100,-549.3,-275.56,-17049,-44000,-0.88563,1100,1
1,12,-0.5,1200,-2399.3,1200.3,37200,1.14e+05,599.33,1200,2
2,13,-0.5,1300,-649.64,-325.23,-20150,-52000,0.29926,1300,1
3,14,-0.5,1400,-2799.8,1400.8,43400,1.33e+05,700.51,1400,2
4,15,-0.5,1500,-2999.9,1500.4,46501,1.425e+05,749.35,1500,2
5,16,-0.5,1600,-3199.4,1600.6,49601,1.52e+05,800.82,1600,2
6,17,-0.5,1700,-849.18,-425.08,-26351,-68000,0.56285,1700,1
7,18,-0.5,1800,-3599.6,1799.4,55800,1.71e+05,900.94,1800,2
8,19,-0.5,1900,-949.94,-475.9,-29450,-76000,-0.014527,1900,1
9,20,-0.5,2000,-3999.4,1999.2,61999,1.9e+05,1000.7,2000,2
0,21,-0.5,2100,-1049.8,-525.33,-32550,-84001,0.73866,2100,1
1,22,-0.5,2200,-1099.2,-549.03,-34101,-88000,-0.24281,2200,1
2,23,-0.5,2300,-4600,2300.8,71300,2.185e+05,1149.2,2300,2
3,24,-0.5,2400,-4799.1,2400.8,74401,2.28e+05,1199.1,2400,2
4,25,-0.5,2500,-1249.6,-624.3,-38750,-1e+05,-0.86479,2500,1
5,26,-0.5,2600,-5200,2600.5,80600,2.47e+05,1300.7,2600,2
6,27,-0.5,2700,-1349.1,-675.47,-41851,-1.08e+05,-0.42137,2700,1
7,28,-0.5,2800,-1399.6,-700.67,-43399,-1.12e+05,-0.065401,2800,1
8,29,-0.5,2900,-1449.9,-724.68,-44949,-1.16e+05,-0.45435,2900,1
9,30,-0.5,3000,-5999.5,2999.4,93001,2.85e+05,1500.3,3000,2
0,31,-0.5,3100,-6199.8,3100.4,96099,2.945e+05,1550.3,3100,2
1,32,-0.5,3200,-6399.4,3200,99200,3.04e+05,1600.9,3200,2
2,33,-0.5,3300,-1649.9,-824.84,-51149,-1.32e+05,0.31799,3300,1
3,34,-0.5,3400,-1699.7,-849.78,-52699,-1.36e+05,0.043866,3400,1
4,35,-0.5,3500,-1749,-874.68,-54250,-1.4e+05,0.78233,3500,1
5,36,-0.5,3600,-7199.2,3599.4,1.116e+05,3.42e+05,1799.9,3600,2
6,37,-0.5,3700,-7399.3,3700.8,1.147e+05,3.515e+05,1849.6,3700,2
7,38,-0.5,3800,-7599.1,3800.8,1.178e+05,3.61e+05,1899.1,3800,2
8,39,-0.5,3900,-7799.1,3900.3,1.209e+05,3.705e+05,1950,3900,2
9,40,-0.5,4000,-7999.8,3999.3,1.24e+05,3.8e+05,2000,4000,2
0,41,-0.5,4100,-8199.5,4100.9,1.271e+05,3.895e+05,2049.2,4100,2
1,42,-0.5,4200,-2099.2,-1050,-65101,-1.68e+05,0.61041,4200,1
2,43,-0.5,4300,-8599.4,4299.2,1.333e+05,4.085e+05,2149.5,4300,2
3,44,-0.5,4400,-8799.6,4399.1,1.364e+05,4.18e+05,2200.4,4400,2
4,45,-0.5,4500,-2249.4,-1125,-69750,-1.8e+05,0.52985,4500,1
5,46,-0.5,4600,-9199.2,4600.1,1.426e+05,4.37e+05,2300.2,4600,2
6,47,-0.5,4700,-2349.6,-1174.9,-72851,-1.88e+05,0.69945,4700,1
7,48,-0.5,4800,-2399.2,-1200.5,-74400,-1.92e+05,0.51704,4800,1
8,49,-0.5,4900,-9799.9,4899.7,1.519e+05,4.655e+05,2449.4,4900,2
9,50,-0.5,5000,-9999.7,4999.6,1.55e+05,4.75e+05,2499.4,5000,2
0,51,-0.4,100,-199.21,79.686,2480.8,7600,40.124,100,2
1,52,-0.4,200,-399.92,159.7,4959.4,15201,79.152,200,2
2,53,-0.4,300,-599.54,239.62,7440.7,22800,119.65,300,2
3,54,-0.4,400,-799.74,320.35,9920.1,30401,159.15,400,2
4,55,-0.4,500,-199.69,-99.625,-6200.1,-16000,-0.90786,500,1
5,56,-0.4,600,-239.12,-120.15,-7439.8,-19201,0.68943,600,1
6,57,-0.4,700,-279.49,-139.14,-8679.9,-22400,0.54029,700,1
7,58,-0.4,800,-319.7,-159.77,-9919.6,-25601,0.42822,800,1
8,59,-0.4,900,-359.88,-180.53,-11160,-28800,-0.49887,900,1
9,60,-0.4,1000,-399.95,-199.66,-12400,-32001,0.13753,1000,1
0,61,-0.4,1100,-439.34,-219.35,-13641,-35200,-0.39562,1100,1
1,62,-0.4,1200,-479.7,-239.75,-14880,-38400,0.99217,1200,1
2,63,-0.4,1300,-2599.9,1040,32239,98801,519.48,1300,2
3,64,-0.4,1400,-559.5,-280.27,-17359,-44801,-0.42493,1400,1
4,65,-0.4,1500,-2999.9,1200.3,37200,1.14e+05,599.26,1500,2
5,66,-0.4,1600,-3199.5,1279.1,39680,1.216e+05,640.17,1600,2
6,67,-0.4,1700,-679.37,-339.71,-21080,-54400,0.21842,1700,1
7,68,-0.4,1800,-719.71,-359.48,-22321,-57600,-0.9546,1800,1
8,69,-0.4,1900,-3799.1,1519.7,47120,1.444e+05,760.51,1900,2
9,70,-0.4,2000,-799.2,-399.21,-24801,-64000,-0.90971,2000,1
0,71,-0.4,2100,-839.81,-420.37,-26041,-67200,-0.71523,2100,1
1,72,-0.4,2200,-4399.9,1760.7,54560,1.672e+05,879.53,2200,2
2,73,-0.4,2300,-4599.4,1839.1,57040,1.748e+05,920.25,2300,2
3,74,-0.4,2400,-959.24,-480.6,-29760,-76800,0.66817,2400,1
4,75,-0.4,2500,-4999,2000.7,62000,1.9e+05,999.14,2500,2
5,76,-0.4,2600,-5199.1,2080.4,64480,1.976e+05,1040,2600,2
6,77,-0.4,2700,-1079.8,-540.35,-33480,-86401,-0.73102,2700,1
7,78,-0.4,2800,-1119.7,-560.27,-34720,-89601,0.37747,2800,1
8,79,-0.4,2900,-1159.7,-579.29,-35960,-92800,-0.69467,2900,1
9,80,-0.4,3000,-5999.1,2399.8,74401,2.28e+05,1199.2,3000,2
0,81,-0.4,3100,-1239.9,-620.09,-38439,-99200,0.56438,3100,1
1,82,-0.4,3200,-6399.4,2559.4,79361,2.432e+05,1280.8,3200,2
2,83,-0.4,3300,-6599.1,2640.1,81841,2.508e+05,1320.8,3300,2
3,84,-0.4,3400,-1360,-679.63,-42160,-1.088e+05,-0.52314,3400,1
4,85,-0.4,3500,-1399.9,-700.24,-43399,-1.12e+05,0.73466,3500,1
5,86,-0.4,3600,-1439.8,-720.38,-44640,-1.152e+05,0.53491,3600,1
6,87,-0.4,3700,-1479,-739.23,-45880,-1.184e+05,0.44824,3700,1
7,88,-0.4,3800,-7599.1,3040.8,94240,2.888e+05,1520.7,3800,2
8,89,-0.4,3900,-1559.2,-780.54,-48360,-1.248e+05,-0.11464,3900,1
9,90,-0.4,4000,-7999.2,3200.4,99199,3.04e+05,1600.8,4000,2
0,91,-0.4,4100,-8199.2,3280.9,1.0168e+05,3.116e+05,1640.5,4100,2
1,92,-0.4,4200,-1679.9,-840.08,-52080,-1.344e+05,-0.089056,4200,1
2,93,-0.4,4300,-8599.3,3439.6,1.0664e+05,3.268e+05,1719.4,4300,2
3,94,-0.4,4400,-1759.7,-880.21,-54561,-1.408e+05,0.60364,4400,1
4,95,-0.4,4500,-1799.1,-899.51,-55800,-1.44e+05,0.63101,4500,1
5,96,-0.4,4600,-9200,3680.2,1.1408e+05,3.496e+05,1840.6,4600,2
6,97,-0.4,4700,-1879.8,-939.3,-58281,-1.504e+05,0.45607,4700,1
7,98,-0.4,4800,-1919.4,-959.52,-59519,-1.536e+05,0.45752,4800,1
8,99,-0.4,4900,-1959.3,-979.97,-60759,-1.568e+05,-0.59852,4900,1
9,100,-0.4,5000,-9999.7,4000.5,1.24e+05,3.8e+05,1999.1,5000,2
0,101,-0.3,100,-29.141,-14.698,-930.92,-2400.7,-0.52252,100,1
1,102,-0.3,200,-59.015,-29.171,-1861,-4800.5,0.21946,200,1
2,103,-0.3,300,-599.77,180.96,5580.2,17101,89.748,300,2
3,104,-0.3,400,-119.15,-59.864,-3719.9,-9600.4,0.7444,400,1
4,105,-0.3,500,-149.85,-74.704,-4649.6,-12000,-0.75602,500,1
5,106,-0.3,600,-1199.3,360.34,11160,34200,180.55,600,2
6,107,-0.3,700,-209.1,-104.53,-6510.9,-16801,-0.067441,700,1
7,108,-0.3,800,-1599.5,480.09,14879,45601,240.55,800,2
8,109,-0.3,900,-269.55,-135.95,-8369,-21601,0.80202,900,1
9,110,-0.3,1000,-299.62,-150.87,-9300.8,-24000,0.027061,1000,1
0,111,-0.3,1100,-329.83,-166,-10230,-26400,0.31277,1100,1
1,112,-0.3,1200,-2399.1,720.24,22320,68400,359.36,1200,2
2,113,-0.3,1300,-2599.8,779.32,24179,74101,390.79,1300,2
3,114,-0.3,1400,-419.32,-209.81,-13021,-33600,0.69266,1400,1
4,115,-0.3,1500,-449.24,-225.03,-13950,-36001,-0.54232,1500,1
5,116,-0.3,1600,-3200,959.79,29761,91200,479.21,1600,2
6,117,-0.3,1700,-3399,1020.9,31620,96901,509.95,1700,2
7,118,-0.3,1800,-539.26,-269.86,-16741,-43201,-0.73925,1800,1
8,119,-0.3,1900,-569.54,-285.72,-17671,-45600,-0.32801,1900,1
9,120,-0.3,2000,-3999.6,1199.2,37199,1.14e+05,600.58,2000,2
0,121,-0.3,2100,-4199.8,1259.6,39061,1.197e+05,629.81,2100,2
1,122,-0.3,2200,-4399.5,1319.1,40921,1.254e+05,660.19,2200,2
2,123,-0.3,2300,-689.95,-344.21,-21391,-55201,-0.88689,2300,1
3,124,-0.3,2400,-4799.1,1440.4,44640,1.368e+05,719.82,2400,2
4,125,-0.3,2500,-4999.5,1500.4,46501,1.425e+05,749.87,2500,2
5,126,-0.3,2600,-5199.7,1560,48360,1.482e+05,780.71,2600,2
6,127,-0.3,2700,-809.92,-404.56,-25109,-64800,-0.68639,2700,1
7,128,-0.3,2800,-839.78,-419.5,-26040,-67200,0.58485,2800,1
8,129,-0.3,2900,-5799.7,1739.6,53940,1.653e+05,869.81,2900,2
9,130,-0.3,3000,-899.51,-449.84,-27899,-72001,-0.70251,3000,1
0,131,-0.3,3100,-929.94,-464.22,-28830,-74400,-0.87058,3100,1
1,132,-0.3,3200,-959.96,-479.84,-29759,-76800,-0.30314,3200,1
2,133,-0.3,3300,-989.17,-495.22,-30689,-79201,-0.65724,3300,1
3,134,-0.3,3400,-6799.5,2039,63240,1.938e+05,1020.8,3400,2
4,135,-0.3,3500,-6999.9,2100.7,65100,1.995e+05,1049.6,3500,2
5,136,-0.3,3600,-1079.9,-539.61,-33480,-86400,-0.30683,3600,1
6,137,-0.3,3700,-1109.3,-555.25,-34410,-88800,0.82878,3700,1
7,138,-0.3,3800,-7599.2,2279.9,70680,2.166e+05,1141,3800,2
8,139,-0.3,3900,-1169,-584.56,-36269,-93601,0.14307,3900,1
9,140,-0.3,4000,-1199.6,-599.93,-37201,-96000,-0.54375,4000,1
0,141,-0.3,4100,-8199.5,2459.2,76259,2.337e+05,1229.5,4100,2
1,142,-0.3,4200,-8399,2520,78119,2.394e+05,1259.9,4200,2
2,143,-0.3,4300,-1289.8,-644.86,-39989,-1.032e+05,-0.76488,4300,1
3,144,-0.3,4400,-8799.1,2639.1,81839,2.508e+05,1320.5,4400,2
4,145,-0.3,4500,-8999.2,2699.2,83699,2.565e+05,1350,4500,2
5,146,-0.3,4600,-1379.1,-690.38,-42781,-1.104e+05,-0.16944,4600,1
6,147,-0.3,4700,-1409.3,-705.68,-43711,-1.128e+05,0.91539,4700,1
7,148,-0.3,4800,-1439.1,-720.59,-44640,-1.152e+05,-0.1014,4800,1
8,149,-0.3,4900,-9799.9,2940.2,91139,2.793e+05,1469.4,4900,2
9,150,-0.3,5000,-9999.8,2999.4,93000,2.85e+05,1499.9,5000,2
0,151,-0.2,100,-19.103,-10.559,-619.22,-1600.4,-0.49988,100,1
1,152,-0.2,200,-39.175,-20.761,-1239.7,-3200.3,-0.34781,200,1
2,153,-0.2,300,-599.67,120.1,3720.3,11401,60.19,300,2
3,154,-0.2,400,-79.839,-40.577,-2479.7,-6400.5,0.9513,400,1
4,155,-0.2,500,-999.59,200.59,6200.8,19000,100.23,500,2
5,156,-0.2,600,-1199.9,240.94,7440.3,22801,119.83,600,2
6,157,-0.2,700,-1399.5,279.99,8680.7,26600,139.89,700,2
7,158,-0.2,800,-159.88,-80.688,-4959.6,-12801,0.35475,800,1
8,159,-0.2,900,-1799.6,360.19,11161,34200,180.37,900,2
