title,content
El_Gobierno_ratificó_a_César_Milani:_Es_el_jefe_del_Ejército,    \xa0El Jefe de Gabinete Juan Manuel Abal Medina.\xa0Foto:\xa0Archivo\xa0 \xa0                   Más notas para entender este tema  Giro del Gobierno: Cristina Kirchner pospuso el ascenso de César Milani hasta después de las elecciones  César Milani ahora admite que intervino por azar en el expediente del soldado desaparecido    \xa0   El Gobierno negó ayer que el general César Milani haya pedido el pase a retiro tras la polémica por la aprobación del pliego para su ascenso y ratificó que es el Jefe del Ejército.                En esa línea el ministro de Defensa Agustín Rossi se mostró ayer con Milani durante una visita a delegaciones militares de Tandil en donde reivindicó la decisión de incorporar a las Fuerzas Armadas a un proyecto de Nación. Por su parte el jefe de Gabinete Juan Manuel Abal Medina precisó que Milani no presentó su pedido de retiro sino que por el contrario es el Jefe del Ejército argentino. Consultado sobre si el militar denunciado por su rol durante la última dictadura presentó su pedido de retiro de la fuerza Abal Medina afirmó: No no para nada. Milani es el jefe del Ejército Argentino.                En diálogo con el canal de noticias C5N  Abal Medina se\xf1aló que lo único que se ha postergado es el pliego de su ascenso tras el debate en el Senado.                Rossi se manifestó en la misma dirección y aseveró que nada de eso sucedió ante una consulta de la prensa sobre las versiones que indicaban que Milani había presentado su renuncia según consigna DyN. Rossi aseguró también que no sólo Milani sino cualquier militar o civil tiene que dar cuentas ante la Justicia y si la Justicia determina responsabilidades nosotros sabemos lo que tenemos que hacer.                En declaraciones reflejadas en la Página Oficial de la Presidencia Rossi defendió la decisión de la mandataria Cristina Kirchner de postergar hasta diciembre el tratamiento del pliego de ascenso de Milani y tal como hizo ayer la jefa del Estado por cadena nacional fustigó a sectores de la oposición que cuestionan la trayectoria del militar.                \xa0Agustín Rossi se mostró en Tandil junto al Jefe del Ejército César Milani.\xa0Foto:\xa0Prensa Ministerio de Defensa \xa0                 Durante 10 a\xf1os nuestro espacio político y fundamentalmente la Presidenta y el presidente (Néstor) Kirchner fueron descalificados por su política de derechos humanos acusados de revanchistas y una serie de descalificaciones de esas características dijo.                El titular de Defensa también salió la cruce de las críticas sobre el rol que la Presidenta dispuso para los militares al se\xf1alar que el desafío es incorporar a las Fuerzas Armadas a un proyecto de Nación que reivindique la historia de (el general Enrique) Mosconi de (el general Manuel) Savio impulsores del desarrollo industrial.                En un comunicado del ministerio de Defensa donde se informó de la visita del ministro acompa\xf1ado por Milani a la VI Brigada Aérea y la Brigada Blindada I del Ejército ubicadas en la ciudad bonaerense de Tandil Rossi afirmó que vamos a recuperar las capacidades de las Fuerzas Armadas para que cada vez más se encuentren integradas a un proyecto de Nación..  
Un_tren_de_alta_velocidad_descarrila_y_deja_al_menos_77_muertos_en_Espa\xf1a,    Ver más fotos\xa0El tren Alvia cubría la ruta entre Madrid y Ferrol.\xa0Foto:\xa0EFE\xa0 \xa0                   Más notas para entender este tema  Descarrilé qué le voy a hacer dijo el maquinista    \xa0   MADRID.- El descarrilamiento de un tren de alta velocidad con 222 personas a bordo ocurrido en las cercanías de Santiago de Compostela en el noroeste de Espa\xf1a dejó al menos unas 77 personas muertas y 100 heridas según informó el delegado del Gobierno en Galicia Samuel Juárez.                Los medios espa\xf1oles El País y El Mundo consignan al menos 77 muertos como consecuencia de la tragedia.                En tanto  el presidente de la Junta de Galicia Alberto Nú\xf1ez Feijóo dijo que la cifra de fallecidos podría aumentar debido a que los servicios de emergencias aún están trabajando en el lugar cercano a la estación de Santiago de Compostela.                El descarrilamiento del tren Avia que circula por las mismas vías que los de la red de alta velocidad espa\xf1ola AVE es uno de los peores accidentes registrados en Espa\xf1a en los últimos a\xf1os. Se produjo hacia las 20.40 hora local cuando el tren que iba a gran velocidad se salió de la vía cerca de la estación de Santiago según narraron dos testigos a la Cadena Ser. Varios vagones quedaron volcados sobre la vía uno de ellos encima de otro y sobre el lugar se elevaba una columna de denso humo.                               Testigos presenciales explicaron que el convoy se partió en dos y la máquina y los cuatro primeros vagones descarrilaron otro intermedio voló sobre un terraplén hasta caer muy cerca de las viviendas y el resto volcó.                Los servicios de emergencias trabajaban esta noche en el rescate de personas atrapadas en los vagones. Uno de ellos estaba ardiendo. Otro había volado sobre un talud de cinco metros. Desde la distancia se apreciaba una columna de humo.                Las causas del descarrilamiento se desconocen de momento. Al parecer el tren se salió de la vía en una zona con una curva cerrada.                \xa0El descarrilamiento es uno de los peores accidentes registrados en Espa\xf1a en los últimos a\xf1os.\xa0Foto:\xa0EFE\xa0 \xa0                 Vecinos de la zona también indicaron que el tren iba a una velocidad normal para entrar en la estación y que llegaron a escuchar un ruido previo al descarrilamiento y acto seguido ya se produjo una gran humareda. Al menos 15 cuerpos permanecen al caer la noche cubiertos con sábanas en el lugar de Angrois donde se produjo el accidente.                                \xa0  View Accidente de tren en Santiago de Compostela in a larger map                Minutos después del terrible accidente decenas de personas abandonaron el lugar con sangre en el rostro y envueltos en mantas mientras los vecinos acudían a la zona con abrigo y agua. Algunas fotografías aéreas mostraban varios cuerpos cubiertos con mantas junto a las vías.                Fue muy rápido en una curva el tren empezó a dar muchas vueltas de campana quedaron subidos unos vagones encima de otros y mucha gente quedó aprisionada debajo tuvimos que salir por debajo de los vagones y nos dimos cuenta de que el tren estaba ardiendo dijo Ricardo Montesco que iba en el tren a la Cadena Ser. Yo iba en el vagón número dos y había fuego delante había muertos. Hubo muertos yo vi muertos a\xf1adió.                El suceso tuvo lugar cuando Galicia se preparaba para vivir ma\xf1ana su día grande el de Santiago el festivo más importante de la región espa\xf1ola. El gobierno regional suspendió todos los actos festivos tras el descarrilamiento.                Fuentes del Ejecutivo informaron que el presidente del Gobierno Mariano Rajoy está en permanente contacto con la ministra de Fomento Ana Pastor que se ha desplazado hasta el lugar del accidente. Además y según fuentes de la Casa del Rey el rey Juan Carlos contactó con las autoridades en cuanto tuvo conocimiento de la tragedia sucedida por causas aún desconocidas.                El Complejo Hospitalario Universitario de Santiago (CHUS) ha reforzado los servicios de urgencia y hasta el complejo médico han sido trasladados por ahora unos cincuenta heridos informan fuentes sanitarias.                               Agencias EFE Reuters y AP.  
Descarrilé_qué_le_voy_a_hacer_dijo_el_maquinista,    \xa0Ocho de los trece vagones terminaron seriamente da\xf1ados por el accidente cerca de Santiago de Compostela en Espa\xf1a.\xa0Foto:\xa0EFE\xa0 \xa0                   Más notas para entender este tema  Un tren de alta velocidad descarrila y deja al menos 77 muertos en Espa\xf1a    \xa0   MADRID.- Descarrilé qué le voy a hacer qué voy a hacer afirmó uno de los dos conductores del tren de alta velocidad que esta noche protagonizó una de las peores tragedias ferroviarias en la historia de Espa\xf1a al expresar su desesperación mientras hablaba por el teléfono celular.                El tren que manejaba junto a otro conductor descarriló a las 20:41 horas (local) en las inmediaciones de Santiago de Compostela la capital de Galicia. Murieron al menos 77 personas y otras 160 resultaron heridas algunas de extrema gravedad.                El conductor cuya conversación telefónica recogía esta noche la edición online del diario  La voz de Galicia  resultó ileso como su compa\xf1ero. Tras salir del tren ambos se implicaron inmediatamente en las tareas de rescate de los heridos.                Para entonces junto a las vías estaban ya Abel e Iván dos jóvenes gallegos que trataban esta noche de explicar lo inexplicable. Escuchamos un ruido tremendo enorme como nunca. Bajamos y ya vimos el convoy separado en dos trozos.                Mientras la ciudad de Santiago de Compostela se disponía a vivir su noche grande la previa a la festividad ma\xf1ana jueves del apóstol el tren Alvia descarriló en las inmediaciones de la capital gallega. Había partido de Madrid a las 15 horas (local) y se dirigía a Ferrol.                En él viajaban 218 pasajeros muchos de ellos madrile\xf1os dispuestos a iniciar las vacaciones estivales en Galicia. Sumando a la tripulación en el convoy iban 224 personas.                                \xa0  View Accidente de tren en Santiago de Compostela in a larger map                Agencia: DPA.  
Los_candidatos_de_UNEN_debatieron_con_duras_críticas_al_Gobierno,    \xa0Los precandidatos de UNEN.\xa0Foto:\xa0LA NACION\xa0/\xa0Eduardo Cabrera \xa0                    Los precandidatos a senadores del frente porte\xf1o UNEN Fernando Pino Solanas Alfonso Prat Gay y Rodolfo Terragno encabezaron anoche el primer debate de campa\xf1a para sumar adhesiones en vista a las primarias con fuertes críticas al gobierno nacional y algunas chicanas.                Los tres dirigentes con sus listas \Coalición Sur\ \Juntos\ y \Suma +\ serán los únicos que definirán por el mecanismo de las primarias abiertas los candidatos a senadores que llegarán a las generales de octubre. El frente también incluye un cuarto competidor por la nómina \Presidente Illia\ César Wehbe que no participó del debate televisivo.                Con tiempos fijados que apenas superaban el minuto y fielmente respetados por los precandidatos el debate giró en torno a tres ejes: \xbfPor qué votarlos? El gobierno nacional y el rol de la oposición Grados de intervención estatal y transparencia.                Tanto Pino Solanas el radical Terragno y el economista Prat Gay hablaron de estafa kirchnerista de fin de ciclo del gobierno de la corrupción del Ejecutivo y evitaron criticar al macrismo y entre sí aunque manifestaron algunas chicanas especialmente contra el cineasta que fue vapuleado por sus rivales electorales por solo denunciar.                Desde el palco de los estudios de Todo Noticias (TN) que organizó el debate televisivo estuvieron aliados de los tres precandidatos como Elisa Carrió Fernanda Reyes Alcira Argumedo y Roy Cortina por Solanas Martín Lousteau y Mabel Bianco por Terragno y Victoria Donda Ricardo Gil Lavedra Humberto Tumini por Prat Gay entre otros quienes participaron con algunos aplausos en momentos determinados.                Carrió fue la única que deslizó comentarios a lo largo del debate especialmente cuando hablaba su ex socio Prat Gay quien formalizó una alianza con la UCR y Libres del Sur para estas elecciones y cruzó algunos dichos con Lousteau al final de la actividad.                Al ex ministro de Economía durante el gobierno de Cristina Fernández le advirtió que le tira con el tren bala si la chicanea como lo chicanearon a Pino porque tanto ella como el cineasta pusieron el cuerpo contra estos tipos en las distintas denuncias.                Sucede que Terragno y Prat Gay se diferenciaron del hecho de sólo denunciar -el economista habló de opositores vitalicios- y manifestaron una serie de propuestas para combatir la corrupción del gobierno nacional.                Por su parte Solanas afirmó que la denuncia no es una profesión ni da placer remarcó que no nos callaron se quejó de 600 proyectos cajoneados en el Congreso y le devolvió la crítica al recordar que sus rivales transitaron en las gestiones del gobierno de Fernando De la Rúa y del oficialismo: No les envidio los gobiernos que estuvieron.                De todos modos estas chicanas no pasaron a mayores y el blanco elegidos por los tres opositores fue el kirchnerismo que algunas encuestas lo ubican en segundo lugar.                En un momento Prat Gay decidió mostrar un billete Patacón (la moneda del gobierno de la convertibilidad dijo) para resaltar su gestión al frente del Banco Central en plena crisis socioeconómica entre diciembre de 2002 y septiembre de 2004 y comparó con ironía que hoy es el Cedin (Certificado de Depósito para la Inversión). También resaltó que yo bajé la inflación durante su paso por la administración nacional. Por su parte Solanas puntualizó el reclamo de unidad de la sociedad aseguró que en UNEN hay siete partidos políticos cada uno con su identidad y dijo que con la UCR ampliamos el frente para combatir la avanzada kirchnerista e intento de reelección.                Esta es una década fracasada la presidenta (Cristina Fernández) se obstina en impostura y le miente a los argentinos usted miente se\xf1ora Presidenta miente con el Indec permite el contrabando miente con la ley de Tierras arengó el precandidato de Coalición Sur.                El único que mencionó al macrismo fue Terragno quien planteó la necesidad de ganar al kirchnerismo y al PRO y pidió a sus colegas crear una fuerza de poder para el 2015.                                \xa0                  Agencia: DyN.  
Seguí_en_vivo_la_misa_del_papa_Francisco_en_Aparecida,                 APARECIDA Brasil.- Al menos 200.000 personas son esperadas este martes en esta peque\xf1a ciudad de 35.000 habitantes aunque sólo 15.000 podrán ingresar a la basílica Nuestra Se\xf1ora Aparecida la patrona de Brasil que tiene capacidad para 30.000 personas.                Los responsables por el santuario decidieron limitar el número de asistentes para facilitar el tránsito en su interior y por razones de seguridad.                Los fieles podrán asistir a la misa en pantallas gigantes instaladas en los estacionamientos de la basílica y podrán ver a Francisco cuando el Papa salga a la Plaza de los Apóstoles para bendecir a la multitud.                Gran parte de las seis mil sillas de plástico instaladas en la plaza estaba ocupada desde primera hora por cientos de personas protegidas por paraguas y capas de plástico y tan sólo animadas por las oraciones y canciones religiosas lideradas por sacerdotes desde un improvisado altar.                Los fieles que no puedan entrar a la basílica ni a los estacionamientos del santuario podrán ver al pontífice en los dos recorridos que Francisco realizará en papamóvil por las estrechas calles de Aparecida..  
El_papa_Francisco_llamó_a_rezar_por_las_víctimas_del_accidente_de_tren_en_Espa\xf1a,    \xa0El mensaje de Francisco a Espa\xf1a.\xa0Foto:\xa0AFP\xa0 \xa0                    R\xefO DE JANEIRO. - El papa Francisco invitó a orar por las víctimas del accidente de tren ocurrido cerca de Santiago de Compostela (Galicia) que dejó al menos 65 muertos y unos 130 heridos dijo el miércoles su portavoz Federico Lombardi.                El papa fue informado al regresar a su residencia en Sumaré. Se une al dolor de las familias e invita a orar y a vivir en la fe este evento trágico dijo Lombardi en conferencia de prensa en Rio de Janeiro donde se encuentra el pontífice.                Francisco fue informado del accidente y expresó su tristeza se\xf1aló Lombardi que pidió a los periodistas acreditados para la XXVIII Jornada Mundial de la Juventud que se celebra en Río de Janeiro un minuto de silencio por las víctimas.                El descarrilamiento se produjo la víspera del día del Apóstol Santiago por lo cual se estima que muchos peregrinos viajaban en el tren.                El accidente tuvo lugar en una curva cerrada cerca de la estación de Santiago de Compostela y las imágenes del siniestro muestran varios vagones volcados sobre un lateral apoyados contra un talud mientras una de las locomotoras del convoy tenía su techo incendiado.                De las 222 personas que iban en el tren 65 murieron en el accidente ferroviario uno de los peores en la historia de Espa\xf1a según un balance oficial.                Agencia: AFP y EFE.  
Francisco_firme_contra_la_despenalización_de_drogas,    \xa0El Papa habló en duros términos contra la drogadependencia y la liberación del consumo de estupefacientes.\xa0Foto:\xa0AFP\xa0 \xa0                    RIO DE JANEIRO.- Después de visitar a jóvenes adictos al crack y el alcohol en el hospital San Francisco de Asís de la Providencia de Río de Janeiro el papa Francisco habló a una multitud que lo aguardaba advirtió contra la liberalización del consumo de drogas en un firme mensaje contra la idea de la despenalización de los estupefacientes en varios países de la región durante su visita a Brasil. No es la liberalización del consumo de drogas como se está discutiendo en varias partes de América Latina lo que podrá reducir la propagación y la influencia de la dependencia química dijo el primer papa latinoamericano de la historia al visitar el hospital franciscano que rehabilita a adictos.                La plaga del narcotráfico que favorece la violencia y siembra dolor y muerte requiere un acto de valor de toda la sociedad dijo Francisco al aludir implícitamente a los 70.000 asesinados de los últimos seis a\xf1os en México a decenas de miles más en Colombia y Centroamérica así como a miles en la propia Rio de Janerio caídos en las guerras de las drogas.                Es preciso afrontar los problemas que están a la base de su uso promoviendo una mayor justicia educando a los jóvenes en los valores que construyen la vida común acompa\xf1ando a los necesitados y dando esperanza en el futuro a\xf1adió sin dar más precisiones al hablar bajo un techo en el patio del hospital mientras una copiosa lluvia caía sobre fieles que se protegían con paraguas y capuchas de nylon.                El Pontífice lamentó que todavía prevalece la mezquindad de los mercaderes muerte y con tono alto aseguró que ellos son una llaga para la sociedad al estimular la drogadicción y sembrar la violencia.                Abrazar y tender una mano                Abrazar  abrazar. Precisamos todos aprender a abrazar a aquel que tiene necesidad como hizo San Francisco. Aprender a abrazar cuando hay que expresar solidaridad afecto y amor. Pero abrazar no es suficiente. Extendamos la mano al que está en dificultad al que cayó en la oscuridad de la dependencia quizá sin saber todo. Le vamos a decir vos podés es posible si lo querés arengó el Sumo pontífice y agregó: No dejen que les roben la esperanza.                Hay tantas situaciones en Brasil y en el mundo que reclaman cuidado y amor como la lucha contra la dependencia química enfatizó el Papa.                Despenalización en América latina                El presidente de Guatemala Otto Pérez y los ex presidentes Fernando Henrique Cardoso (Brasil) Vicente Fox y Ernesto Zedillo (México) César Gaviria (Colombia) promueven un cambio de estrategia en la guerra contra las drogas lanzada hace cuatro décadas por Estados Unidos y defienden su legalización.                El presidente uruguayo José Mujica lleva adelante un proyecto para legalizar la marihuana en su país.                Brasil el país con más católicos del mundo es considerado el primer consumidor mundial de crack (un residuo de la cocaína de bajo precio y altamente adictivo) con un millón de consumidores según un estudio de la Universidad Federal de San Pablo.                En Río adonde llegó el papa el lunes pasado para presidir la Jornada Mundial de la Juventud el narcotráfico acosó a su población durante tres décadas y en 2008 las autoridades emprendieron la reconquista de las favelas de manos de bandas armadas de traficantes de drogas antes del Mundial de fútbol de 2014 y los Juegos Olímpicos de 2016.                                                                                                \xa0                    \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0  \xa0\xa0 \xa0                    LN.Render.Galeria.cycleSlideGaleriaEmbebida(\12881\ 0)                              Más temprano Francisco dejó en helicóptero la ciudad de Aparecida rumbo al aeropuerto San José dos Campos interior del estado de San Pablo desde donde regresó en un avión militar a Río de Janeiro luego de cumplir su última actividad en Aparecida en el Seminario Bom Jesús.                En el papamóvil rumbo al helipuerto el papa rompió el protocolo mientras llovía bajó del papamóvil y caminó unos metros para besar a un ni\xf1o causando el delirio de los fieles. Luego volvió al papamóvil y se dirigió saludando a la multitud en la ciudad-santuario de Brasil hacia el helipuerto.                Tras oficiar una misa ante unas 200.000 personas y prometer que volverá en 2017 cuando se cumple el 300 aniversario de la aparición de la Virgen patrona de Brasil el pontífice salió en helicóptero de Aparecida a unos 245 kilómetros de Río de Janeiro para volar a la ciudad carioca                \xa0Francisco les habló a los jóvenes internados por la droga y el alcohol.\xa0Foto:\xa0AFP\xa0 \xa0                 Francisco es el tercer papa que visita Aparecida. En 1980 lo hizo Juan Pablo II y en 2007 Benedicto XVI que inauguró la V Asamblea General del Episcopado Latinoamericano y del Caribe (Celam).                En la ceremonia en la basílica el papa puso su vida su pontificado y al pueblo latinoamericano bajo la protección de la Virgen de Aparecida y abogó para que los jóvenes sean artífices de un mundo más justo y no cedan ante ídolos pasajeros como el dinero el placer y el poder.                El frío y la lluvia no enfrían el entusiasmo por el Papa                La ola de frío que registra esta semana Brasil con nieve en 131 ciudades y bajas temperaturas récord coincidió con la llegada del papa Francisco el lunes pasado y durará hasta el final de la semana. En Aparecida 180 km al este de SanPaulo más de 200.000 fieles se concentraron por largas horas pese a la temperatura de 7C para acompa\xf1ar la misa que el pontífice celebró en el mayor santuario católico de Brasil.                Una llovizna muy fría se mantuvo constante durante todo el servicio religioso. Un cobertor de paraguas se extendió por toda la explanada de la basílica. Pese a la lluvia y el frío en Aparecida Francisco fue acogido con cánticos vivas y aplausos por los fieles algunos de los cuales esperaban desde hacía más de dos días para ver al primer papa latinoamericano quien no dudó en detener el papamóvil para estrechar las manos de los fieles y besar a ni\xf1os.                                                                                                \xa0                    \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0  \xa0\xa0 \xa0                    LN.Render.Galeria.cycleSlideGaleriaEmbebida(\12850\ 0)                              Una vez en el templo Francisco se dirigió a la Capilla de los Doce Apóstoles donde está expuesta la imagen de la virgen ante la que oró durante unos minutos.                En vuestras manos pongo mi vida afirmó un papa emocionado que después ofició su primera misa pública en Brasil en la que exhortó a los fieles a no perder la esperanza y pidió a los padres y educadores que transmitan a los jóvenes los valores que les hagan artífices de un mundo más justo solidario y fraterno.                Francisco recordó que hace seis a\xf1os en 2007 se reunió en Aparecida la V Asamblea General del Episcopado Latinoamericano y del Caribe (Celam) y que esa conferencia marcó un gran momento de la Iglesia.                A esa asamblea asistió el entonces arzobispo de Buenos Aires y hoy papa Francisco que redactó el Documento de Aparecida que marcó las líneas a seguir por la Iglesia Latinoamericana para encarar el siglo XXI y la nueva evangelización.                Agencias AFP y Reuters.  
El_dólar_blue_cotizó_por_arriba_de_los_$_858_en_una_rueda_con_pocas_operaciones,    \xa0El dólar blue cotiza estable.\xa0Foto:\xa0Archivo\xa0 \xa0                    El dólar blue se mantuvo estable hoy a $ 858 en una jornada caracterizada nuevamente por las pocas operaciones ante el temor a eventuales operativos. En tanto el tipo de cambio oficial es de $547 y la brecha cambiaria asciende al 56%.                Hace exactamente una semana el tipo de cambio marginal tocaba su máximo histórico en el último mes y medio al cotizar a $885 para la venta. A partir de allí empezaron los feriados virtuales. El secretario de Comercio Guillermo Moreno les aseguró a los cambistas que si no se revertía la tendencia les aplicaría la ley cambiaria.                El Gobierno considera que el éxito del blanqueo de capitales que hasta ahora no ha arrojado los resultados esperados depende en gran medida de tener controlado el blue. Ante la demanda creciente del dólar en el mercado informal debido a las vacaciones y al cobro de aguinaldo Moreno redobló las presiones y en la rueda de hoy se cumple el quinto feriado virtual consecutivo..  
Victoria_Donda:_El_Gobierno_de_los_DDHH_sostiene_a_un_represor_al_frente_de_las_FFAA,    \xa0La diputada Victoria Donda.\xa0Foto:\xa0LA NACION\xa0/\xa0Guadalupe Aizaga \xa0                    La diputada y precandidata a senadora por la lista Juntos del frente UNEN Victoria Donda volvió a criticar hoy al Ejecutivo al advertir que el Gobierno de los Derechos Humanos sostiene a un represor al frente de las Fuerzas Armadas.                Donda hija de desaparecidos cuestionó la decisión del Gobierno de mantener al general César Milani como titular del Ejército pese a las denuncias sobre su presunta participación en la última dictadura militar.                Sin dejar de reconocer los avances en los juicios por los delitos de lesa humanidad realizados hasta ahora no es verdad que este Gobierno se caracterice por el cumplimiento irrestricto de los derechos humanos. Quedan numerosas materias pendientes en este sentido informó en un comunicado.                Al respecto la diputada cuestionó: Es este Gobierno el que ignora a los pueblos originarios en sus reclamos y avala la feroces represiones de sus gobiernos provinciales como el de Chaco y Formosa. También es este Gobierno el que sacó la ley antiterrorista estrenada contra militantes sociales en defensa del agua y del medio ambiente. Y por último también es el kirchnerismo el que ha causado masacres terribles por robarse el dinero que debía ir a obras como las del ferrocarril Sarmiento..  
Cómo_es_el_combo_peregrino_para_comer_y_viajar_en_Río,    \xa0Algunos de los peregrinos eligen comida rápida para sus días en Río.\xa0Foto:\xa0LA NACION\xa0/\xa0Guadalupe Aizaga \xa0                    RIO DE JANEIRO.-  \xbfVes? Lo primero que hacen ellos es guardar su tarjeta dice con tono pedagógico Silvana Triguy directora de un colegio secundario y coordinadora de un grupo de adolescentes que viajaron desde Mendoza a Río de Janeiro para participar de la Jornada de la Juventud Mundial (JMJ). La mujer no para de decir a los chicos que cuiden la tarjeta para comer que les dio la organización del evento. Si la pierden ya no tendrán los 30 reales diarios para el almuerzo y la cena que viene incluido en el paquete de peregrino para ver al papa Francisco.                En una semana para la reflexión y la oración los jóvenes que participan de la JMJ debieron incorporar una costumbre bien terrenal: dentro de su paquete peregrino que debieron recoger en el sambódromo cuando llegaron a esta ciudad había una tarjeta de débito donde les depositan 30 reales por día (el equivalente a 73 pesos argentinos) durante la duración formal de la jornada del 23 al 26 de julio y la noche del 28.                Para el próximo fin de semana se entregarán kits con comida para que administren durante la vigilia en Campus Fides a la espera del cierre de la Jornada a cargo del papa Francisco.                Las tarjetas son personales pero no tienen el nombre de su due\xf1o al frente por lo que es fácil confundirse o perderlo. De allí la insistencia de los coordinadores para que la cuiden como si fuera oro. Si la pierden no hay reposición y la comida pasará a ser responsabilidad del peregrino. El cuidado del plástico rojo debe ser extremo: algunos jóvenes denunciaron que intentaron robárselo más de una vez.                El mecanismo para utilizarla es simple. Lo más complejo de hecho es ponerse de acuerdo en elegir el lugar donde van a ir a comer. Para ello el factor tiempo suele ser el que más pesa. En algunos restaurants adheridos a la tarjeta peregrina -que muestran una calcomanía en su entrada- la cola llega a ser de dos horas. Una vez adentro los fieles eligen la comida pagan con la tarjeta de Ticket Restaurant colocan el código (pin) que llegó junto al plástico y después bandeja en mano llega la lucha por conseguir lugar.                                                                                                \xa0                    \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0  \xa0\xa0 \xa0                    LN.Render.Galeria.cycleSlideGaleriaEmbebida(\12883\ 0)                              Hamburguesas carne o pollo                Las hamburguesas son el plato favorito. No sólo por una cuestión de rango etario sino porque Mc Donald\s es uno de los auspiciantes de la jornada y preparó un menú peregrino que son los combos básicos a un precio especial de 15 reales (unos tres reales menos que para la venta al público ajeno a la Jornada) el monto justo que deberían gastar los jóvenes por comida.                En otros restaurantes como sucede en algunos del centro de Copacabana cerca de la playa donde ayer se reunieron los fieles por primera vez y donde ma\xf1ana se encontrarán con el papa Francisco el menú de hamburguesa con papas fritas jugo y ensalada de frutas tiene un costo de 16 reales.                Para quienes desean salir de la rutina también hay restaurantes tipo buffet donde pueden elegir la comida que deseen y es cobrado según el peso del plato. En uno de esos restaurantes en Duque de Caxias en las afueras de Rio los argentinos parecen haber copado todas las mesas. Es fácil de notar no sólo por las banderas o el acento sino por sus elecciones culinarias: pocos se animan a agregar comida típica brasile\xf1a en sus platos y prefieren pollo o asado en general acompa\xf1ados por papas fritas.                Los quince reales alcanzan y sobran dice desde una de esas mesas Tamara Narés una porte\xf1a de 29 a\xf1os que está en el extenso grupo de la Obra Don Orione que se hospeda en ese barrio y que gastó 11 reales en un plato de carne con guarnición y bebida. Quedó sola en el plato la banana frita muy común en este país a la que no se animaba a probar.                Otras personas en la misma mesa los que buscaron más variedad o cantidad llegaron a gastar 20 reales. Esto no significa que hayan salido del presupuesto ya que anoche cuando terminó la concurridísima misa inaugural en Copacabana decidieron saltearse la cena porque los restaurants rebosaban de gente. Dado que el dinero es acumulable hoy tenían un poco más de margen para elegir su plato del día.                Comida casera y transporte                Sin embargo los que más permitidos tienen gracias a sus ahorros son quienes se hospedan en casas de familia. En general los brasile\xf1os que los reciben suelen mimarlos con alguna comida casera al día y de paso los ayudan a administrar mejor esos 135 reales. El plato que más ofrecen es la típica feiojada como contó Fátima Belmetiuk quien vive junto a cinco peregrinas en la casa de una familia en la zona de Campo Grande.                \xa0Foto:\xa0LA NACION\xa0/\xa0Guadalupe Aizaga \xa0                 Además de brindarles las tarjetas de débito precargadas la organización de la JMJ se encarga de proveerles el desayuno a los jóvenes que compraron el paquete que incluye la comida. Cada parroquia escuela o casa que los hospeda ya recibieron los kit del café de la ma\xf1ana para toda la semana y para cada peregrino. La entrega de los paquetes a los jóvenes deben quedar marcadas en las credenciales que cuelgan en sus cuellos.                Cada una de esas cajas de cartón contiene tostadas budín de naranja queso cremoso y crema de avellana además de un jugo de cajú y una chocolatada. Nuevamente los jóvenes aplican la lección de administración que les brinda esta jornada y distribuyen el consumo de esos los productos del desayuno durante todo el día.                Transporte también. Los paquetes del peregrino también incluyen también otra tarjeta que cubre ocho pasajes por día en cualquier medio de transporte para cada peregrino. Un alivio para muchos ya que debido a la gran cantidad de peregrinos en Río varios peregrinos viven alejados de los lugares donde se realizan actividades oficiales y deben combinar varios servicios para moverse..  
