"periodo","AGRICULTURA..GANADERIA..CAZA.Y.SILVICULTURA","PESCA","EXPLOTACION.DE.MINAS.Y.CANTERAS","INDUSTRIAS.MANUFACTURERAS","SUMINISTRO.DE.ELECTRICIDAD..GAS.Y.AGUA","CONSTRUCCION","COMERCIO.Y.REPARACIONES","HOTELES.Y.RESTAURANTES","TRANSPORTE..ALMACENAMIENTO.Y.COMUNICACIONES","INTERMEDIACION.FINANCIERA","ACTIVIDADES.INMOBILIARIAS..EMPRESARIALES.Y.DE.ALQUILER","ENSEÑANZA","SERVICIOS.SOCIALES.Y.DE.SALUD","OTRAS.ACTIVIDADES.DE.SERVICIOS.COMUNITARIAS..SOCIALES.Y.PERSONALES","Total"
1995,410,1.275,1.77,919,1.511,589,650,520,1.055,1.592,686,"",663,770,816
1996,386,1.283,1.851,932,1.489,585,648,511,1.04,1.62,678,"516",657,764,803
1997,394,1.259,1.901,934,1.514,553,657,508,1.003,1.657,683,"504",661,771,800
1998,399,1.387,1.958,942,1.557,560,671,510,1.018,1.686,698,"494",670,779,807
1999,402,1.352,1.972,953,1.566,569,681,515,1.03,1.738,714,"539",679,805,812
2000,389,1.47,1.991,963,1.571,566,680,506,1.041,1.797,725,"538",677,805,816
2001,388,1.729,1.989,957,1.571,565,673,495,1.034,1.835,722,"546",683,798,814
2002,414,2.122,2.365,1.018,1.61,667,685,506,1.046,1.821,754,"537",685,823,855
2003,549,2.357,2.729,1.184,1.825,710,795,596,1.185,2.041,849,"560",785,949,967
2004,652,2.458,2.999,1.366,2.077,820,926,728,1.408,2.274,978,"624",935,1.076,1.11
2005,733,2.756,3.67,1.608,2.413,992,1.098,846,1.656,2.492,1.145,"779",1.078,1.223,1.296
2006,887,4.106,4.486,1.939,2.931,1.237,1.318,1.063,2.058,2.887,1.385,"980",1.376,1.479,1.572
2007,1.074,4.521,5.595,2.332,3.616,1.588,1.591,1.265,2.492,3.379,1.654,"1.204",1.683,1.793,1.905
2008,1.426,4.95,7.58,2.949,4.69,2.11,2.066,1.609,3.168,4.304,2.145,"1.626",2.362,2.222,2.456
2009,1.692,5.537,9.222,3.514,5.929,2.481,2.476,1.922,3.922,5.404,2.598,"1.965",2.7,2.696,2.96
2010,2.172,6.723,11.774,4.567,7.379,3.057,3.128,2.375,4.947,6.82,3.237,"2.340",3.343,3.341,3.737
2011,2.813,8.596,16.179,5.956,9.984,4.147,4.241,3.052,6.573,8.662,4.182,"3.071",4.78,4.46,4.934
2012,3.628,10.389,19.562,7.689,12.533,5.445,5.649,3.982,8.36,11.099,5.436,"3.811",6.267,5.898,6.391
