Periodo;Desocupacion;Actividad;subocupacion_no_demandante;empleo;subocupacion_demandante
20031;0;0;0;0;0
20033;0;0;0;0;0
20034;0;0;0;0;0
20041;0;0;0;0;0
20042;0;0;0;0;0
20043;0;0;0;0;0
20044;0;0;0;0;0
20051;0;0;0;0;0
20052;0;0;0;0;0
20053;0;0;0;0;0
20054;0;0;0;0;0
20061;0;0;0;0;0
20062;0;0;0;0;0
20071;4.1;41.8;2.0;40.1;2.6
20072;5.9;43.1;1.3;40.5;2.2
20073;5.6;44.1;0.9;41.6;0.6
20074;2.5;43.2;1.7;42.2;1.3
20081;4.7;43.7;2.3;41.7;1.4
20082;5.3;45.1;0.8;42.7;1.5
20083;4.9;43.3;0.6;41.2;1.7
20084;3.7;43.0;0.6;41.4;1.1
20091;5.6;43.1;0.6;40.7;1.3
20092;6.2;42.2;0.9;39.5;0.6
20093;3.3;40.6;0.4;39.3;0.3
20094;2.7;41.1;0.3;40.0;0.2
20101;4.2;40.6;0.6;38.9;1.1
20102;4.8;40.2;0.2;38.3;0.9
20103;3.4;40.8;0.4;39.4;0.4
20104;3.6;43.5;2.2;41.9;2.6
20111;5.1;43.5;1.5;41.3;1.4
20112;5.2;46.3;2.3;43.9;3.0
20113;4.8;48.3;1.3;46.0;2.4
20114;2.9;46.7;1.0;45.3;1.9
20121;3.4;44.0;0.1;42.5;2.1
20122;3.5;45.1;1.2;43.5;4.2
20123;4.0;44.0;0.9;42.2;2.3
20124;4.2;43.8;0.5;42.0;1.9
20131;4.6;44.0;0.5;41.9;1.8
20032;0;0;0;0;0
20063;6.6;45.4;1.1;42.4;1.9
20064;5.8;43.4;1.8;40.8;2.4
