Periodo;Desocupacion;Actividad;subocupacion_no_demandante;empleo;subocupacion_demandante
20031;0;0;0;0;0
20033;0;0;0;0;0
20034;0;0;0;0;0
20041;0;0;0;0;0
20042;0;0;0;0;0
20043;0;0;0;0;0
20044;0;0;0;0;0
20051;0;0;0;0;0
20052;0;0;0;0;0
20053;0;0;0;0;0
20054;0;0;0;0;0
20061;0;0;0;0;0
20062;0;0;0;0;0
20071;8.1;44.7;3.3;41.1;4.0
20072;9.6;45.3;3.0;40.9;3.3
20073;8.7;44.6;2.5;40.8;4.6
20074;6.8;44.2;1.9;41.2;4.0
20081;7.8;44.3;1.5;40.8;3.9
20082;8.1;45.1;1.8;41.5;4.4
20083;5.9;42.7;2.2;40.2;3.9
20084;6.4;41.9;1.2;39.2;6.0
20091;8.4;42.0;1.1;38.5;6.7
20092;7.7;41.6;1.1;38.4;5.6
20093;5.8;42.0;-;39.6;2.6
20094;5.1;42.9;0.9;40.7;3.3
20101;7.1;41.3;0.7;38.4;3.8
20102;3.8;39.6;1.4;38.1;2.7
20103;4.8;42.3;1.3;40.3;2.0
20104;6.8;42.8;0.4;39.9;1.4
20111;6.2;42.7;3.3;40.0;7.0
20112;5.8;43.9;2.9;41.4;6.8
20113;3.9;43.1;1.9;41.4;5.4
20114;3.4;41.7;1.9;40.3;3.5
20121;5.3;42.0;0.6;39.7;4.3
20122;4.5;43.0;1.8;41.1;5.2
20123;5.4;42.1;1.4;39.8;4.3
20124;3.9;40.3;0.5;38.7;3.7
20131;5.6;40.8;1.6;38.5;3.9
20032;0;0;0;0;0
20063;9.8;44.1;2.1;39.8;7.1
20064;7.2;45.3;2.1;42.1;7.7
