Segundo trimestre de 2004;Total 28 aglomerados urbanos;14.8;46.2;4.5;39.4;10.7
Cuarto trimestre de 2003;Total 28 aglomerados urbanos;14.5;45.7;4.9;39.1;11.4
Tercer trimestre de 2010;Total 28 aglomerados urbanos;.;.;.;.;.
Segundo trimestre de 2006;Total 28 aglomerados urbanos;10.4;46.7;3.9;41.8;8.1
Segundo trimestre de 2005;Total 28 aglomerados urbanos;12.1;45.6;3.8;40.1;8.9
Segundo trimestre de 2003 (1);Total 28 aglomerados urbanos;17.8;45.6;6.0;37.4;11.8
Primer trimestre de 2007;Total 28 aglomerados urbanos;.;.;.;.;.
Primer trimestre de 2011;Total 28 aglomerados urbanos;.;.;.;.;.
Tercer trimestre de 2005;Total 28 aglomerados urbanos;11.1;46.2;4.2;41.1;8.9
Primer trimestre de 2008;Total 28 aglomerados urbanos;.;.;.;.;.
Tercer trimestre de 2008;Total 28 aglomerados urbanos;.;.;.;.;.
Primer trimestre de 2012;Total 28 aglomerados urbanos;.;.;.;.;.
Segundo trimestre de 2009;Total 28 aglomerados urbanos;.;.;.;.;.
Tercer trimestre de 2004;Total 28 aglomerados urbanos;13.2;46.2;4.7;40.1;10.5
Cuarto trimestre de 2012;Total 28 aglomerados urbanos;.;.;.;.;.
Primer trimestre de 2010;Total 28 aglomerados urbanos;.;.;.;.;.
Tercer trimestre de 2009;Total 28 aglomerados urbanos;.;.;.;.;.
Primer trimestre de 2004;Total 28 aglomerados urbanos;14.4;45.4;5.2;38.9;10.5
Primer trimestre de 2003;Total 28 aglomerados urbanos;20.4;45.6;5.7;36.3;12.0
Tercer trimestre de 2006 (2);Total 28 aglomerados urbanos;.;.;.;.;.
Segundo trimestre de 2007;Total 28 aglomerados urbanos;.;.;.;.;.
Tercer trimestre de 2007;Total 28 aglomerados urbanos;.;.;.;.;.
Segundo trimestre de 2010;Total 28 aglomerados urbanos;.;.;.;.;.
Primer trimestre de 2005;Total 28 aglomerados urbanos;13.0;45.2;3.7;39.4;9.0
Cuarto trimestre de 2005;Total 28 aglomerados urbanos;10.1;45.9;3.5;41.3;8.4
Segundo trimestre de 2008;Total 28 aglomerados urbanos;.;.;.;.;.
Cuarto trimestre de 2004;Total 28 aglomerados urbanos;12.1;45.9;4.5;40.4;9.7
Cuarto trimestre de 2006 (2);Total 28 aglomerados urbanos;.;.;.;.;.
Cuarto trimestre de 2007;Total 28 aglomerados urbanos;.;.;.;.;.
Cuarto trimestre de 2009;Total 28 aglomerados urbanos;.;.;.;.;.
Cuarto trimestre de 2011;Total 28 aglomerados urbanos;.;.;.;.;.
Segundo trimestre de 2011;Total 28 aglomerados urbanos;.;.;.;.;.
Tercer trimestre de 2012;Total 28 aglomerados urbanos;.;.;.;.;.
Tercer trimestre de 2011;Total 28 aglomerados urbanos;.;.;.;.;.
Cuarto trimestre de 2008;Total 28 aglomerados urbanos;.;.;.;.;.
Primer trimestre de 2013;Total 28 aglomerados urbanos;.;.;.;.;.
Tercer trimestre de 2003;Total 28 aglomerados urbanos;16.3;45.7;5.0;38.2;11.6
Cuarto trimestre de 2010;Total 28 aglomerados urbanos;.;.;.;.;.
Segundo trimestre de 2012;Total 28 aglomerados urbanos;.;.;.;.;.
Primer trimestre de 2006;Total 28 aglomerados urbanos;11.4;46.0;3.2;40.7;7.8
Primer trimestre de 2009;Total 28 aglomerados urbanos;.;.;.;.;.
Total 31 aglomerados urbanos (2)
Segundo trimestre de 2004;Total 31 aglomerados urbanos (2);.;.;.;.;.
Cuarto trimestre de 2003;Total 31 aglomerados urbanos (2);.;.;.;.;.
Tercer trimestre de 2010;Total 31 aglomerados urbanos (2);7.5;45.9;2.7;42.5;6.1
Segundo trimestre de 2006;Total 31 aglomerados urbanos (2);.;.;.;.;.
Segundo trimestre de 2005;Total 31 aglomerados urbanos (2);.;.;.;.;.
Segundo trimestre de 2003 (1);Total 31 aglomerados urbanos (2);.;.;.;.;.
Primer trimestre de 2007;Total 31 aglomerados urbanos (2);9.8;46.3;2.9;41.7;6.4
Primer trimestre de 2011;Total 31 aglomerados urbanos (2);7.4;45.8;2.4;42.4;5.8
Tercer trimestre de 2005;Total 31 aglomerados urbanos (2);.;.;.;.;.
Primer trimestre de 2008;Total 31 aglomerados urbanos (2);8.4;45.9;2.4;42.0;5.8
Tercer trimestre de 2008;Total 31 aglomerados urbanos (2);7.8;45.7;2.9;42.1;6.3
Primer trimestre de 2012;Total 31 aglomerados urbanos (2);7.1;45.5;2.4;42.3;5.0
Segundo trimestre de 2009;Total 31 aglomerados urbanos (2);8.8;45.9;3.1;41.8;7.5
Tercer trimestre de 2004;Total 31 aglomerados urbanos (2);.;.;.;.;.
Cuarto trimestre de 2012;Total 31 aglomerados urbanos (2);6.9;46.3;2.6;43.1;6.4
Primer trimestre de 2010;Total 31 aglomerados urbanos (2);8.3;46.0;2.7;42.2;6.6
Tercer trimestre de 2009;Total 31 aglomerados urbanos (2);9.1;46.1;3.2;41.9;7.3
Primer trimestre de 2004;Total 31 aglomerados urbanos (2);.;.;.;.;.
Primer trimestre de 2003;Total 31 aglomerados urbanos (2);.;.;.;.;.
Tercer trimestre de 2006 (2);Total 31 aglomerados urbanos (2);10.2;46.3;3.6;41.6;7.4
Segundo trimestre de 2007;Total 31 aglomerados urbanos (2);8.5;46.3;.;42.2;7.1
Tercer trimestre de 2007;Total 31 aglomerados urbanos (2);8.1;46.2;2.6;42.4;6.7
Segundo trimestre de 2010;Total 31 aglomerados urbanos (2);7.9;46.1;3.1;42.5;6.7
Primer trimestre de 2005;Total 31 aglomerados urbanos (2);.;.;.;.;.
Cuarto trimestre de 2005;Total 31 aglomerados urbanos (2);.;.;.;.;.
