Periodo;Desocupacion;Actividad;subocupacion_no_demandante;empleo;subocupacion_demandante
20031;0;0;0;0;0
20033;0;0;0;0;0
20034;0;0;0;0;0
20041;0;0;0;0;0
20042;0;0;0;0;0
20043;0;0;0;0;0
20044;0;0;0;0;0
20051;0;0;0;0;0
20052;0;0;0;0;0
20053;0;0;0;0;0
20054;0;0;0;0;0
20061;0;0;0;0;0
20062;0;0;0;0;0
20071;3.6;34.6;1.5;33.3;4.5
20072;3.6;35.0;2.0;33.8;3.9
20073;3.1;36.4;0.8;35.3;2.3
20074;3.2;33.8;1.4;32.7;2.3
20081;2.8;34.8;0.5;33.8;1.7
20082;2.9;33.4;0.8;32.4;1.2
20083;2.7;35.1;1.0;34.2;1.8
20084;2.3;31.3;2.0;30.6;2.9
20091;2.0;32.5;0.4;31.8;2.0
20092;3.8;34.7;1.7;33.4;1.2
20093;3.7;33.7;0.8;32.5;2.4
20094;2.1;33.9;0.8;33.2;2.8
20101;2.5;33.2;0.2;32.4;1.0
20102;2.5;32.4;0.4;31.6;2.4
20103;2.2;32.1;1.4;31.4;1.9
20104;2.3;32.3;0.9;31.5;1.8
20111;2.0;33.2;0.8;32.5;0.8
20112;2.2;33.2;0.5;32.5;1.1
20113;2.3;34.4;0.9;33.6;0.8
20114;2.2;32.2;0.4;31.5;1.0
20121;1.8;34.5;0.9;33.9;1.9
20122;2.6;35.5;1.0;34.6;1.2
20123;2.5;35.2;0.9;34.3;2.8
20124;2.0;34.2;0.9;33.5;2.3
20131;1.5;34.5;0.6;33.9;2.8
