Periodo;Desocupacion;Actividad;subocupacion_no_demandante;empleo;subocupacion_demandante
20031;0;0;0;0;0
20033;0;0;0;0;0
20034;0;0;0;0;0
20041;0;0;0;0;0
20042;0;0;0;0;0
20043;0;0;0;0;0
20044;0;0;0;0;0
20051;0;0;0;0;0
20052;0;0;0;0;0
20053;0;0;0;0;0
20054;0;0;0;0;0
20061;0;0;0;0;0
20062;0;0;0;0;0
20071;8.7;47.0;2.0;42.9;4.0
20072;0;0;0;0;0
20073;0;0;0;0;0
20074;0;0;0;0;0
20081;8.8;45.6;1.6;41.6;3.8
20082;8.2;43.4;1.0;39.9;3.2
20083;6.1;43.6;1.7;41.0;3.5
20084;9.8;45.7;0.9;41.2;3.0
20091;11.0;45.4;1.2;40.4;3.8
20092;10.6;44.4;1.6;39.7;4.4
20093;8.1;45.8;1.3;42.1;4.1
20094;9.5;46.2;1.4;41.8;3.4
20101;9.3;46.7;1.6;42.4;3.0
20102;10.2;47.8;1.0;42.9;2.8
20103;7.4;46.5;1.7;43.1;4.1
20104;6.9;47.7;0.6;44.4;2.5
20111;8.9;48.6;0.6;44.3;2.6
20112;8.3;46.0;1.2;42.2;5.2
20113;11.6;46.1;1.4;40.7;3.9
20114;7.8;46.3;0.4;42.7;4.0
20121;5.7;47.4;0.9;44.7;3.2
20122;9.1;46.5;0.5;42.3;4.2
20123;9.9;43.6;0.9;39.3;3.0
20124;6.6;46.6;0.8;43.5;2.9
20131;6.5;47.0;1.0;43.9;3.3
