Periodo;Desocupacion;Actividad;subocupacion_no_demandante;empleo;subocupacion_demandante
20031;0;0;0;0;0
20033;0;0;0;0;0
20034;0;0;0;0;0
20041;0;0;0;0;0
20042;0;0;0;0;0
20043;0;0;0;0;0
20044;0;0;0;0;0
20051;0;0;0;0;0
20052;0;0;0;0;0
20053;0;0;0;0;0
20054;0;0;0;0;0
20061;0;0;0;0;0
20062;0;0;0;0;0
20071;6.7;32.7;1.0;30.5;4.5
20072;5.6;32.5;3.1;30.7;6.8
20073;6.5;35.1;1.6;32.9;5.5
20074;5.8;34.2;2.6;32.2;5.2
20081;4.3;33.3;1.4;31.8;3.0
20082;5.0;35.2;2.3;33.4;5.8
20083;3.7;35.4;3.6;34.1;3.5
20084;2.4;32.9;3.3;32.1;3.6
20091;4.0;34.8;1.6;33.4;4.0
20092;2.2;33.2;1.9;32.4;2.6
20093;2.9;33.0;1.1;32.1;3.1
20094;1.8;32.4;1.7;31.9;2.3
20101;3.5;33.4;1.1;32.2;2.4
20102;4.2;33.0;1.8;31.6;3.3
20103;5.0;34.1;1.6;32.4;3.4
20104;0.9;31.4;1.1;31.1;2.7
20111;2.3;31.7;0.3;30.9;0.9
20112;2.7;33.9;1.2;33.0;1.8
20113;3.4;38.8;1.7;37.5;5.6
20114;3.7;35.1;0.7;33.8;1.5
20121;1.9;34.4;0.2;33.7;0.5
20122;0.4;34.6;0.2;34.5;0.4
20123;0.6;34.6;-;34.4;-
20124;2.1;33.7;0.6;33.0;0.9
20131;1.2;34.9;1.5;34.5;0.6
20032;0;0;0;0;0
20063;5.6;37.9;6.9;35.7;6.3
20064;4.4;36.2;6.5;34.6;4.0
