Periodo;Desocupacion;Actividad;subocupacion_no_demandante;empleo;subocupacion_demandante
20034;11.3;53.5;5.8;47.4;7.1
20044;7.6;52.5;5.7;48.5;6.5
20054;8.0;54.4;3.9;50.1;5.5
20014;6.6;53.2;3.1;49.7;5.6
20074;6.1;55.1;3.5;51.7;4.2
20084;5.5;54.1;3.1;51.2;5.0
20094;6.0;54.1;2.9;50.8;5.3
20104;6.2;53.7;3.5;50.4;4.2
20114;5.8;53.8;3.2;50.7;3.9
20124;7.4;53.9;3.4;49.9;4.2
20031;17.4;51.3;5.2;42.4;5.6
20041;12.1;52.8;5.3;46.5;7.0
20051;11.6;53.2;4.5;47.1;5.2
20061;9.1;53.3;3.8;48.4;6.0
20071;8.7;54.5;2.4;49.8;4.9
20081;6.6;55.2;2.1;51.5;4.0
20091;7.8;55.1;3.4;50.8;4.7
20101;7.2;53.8;2.0;50.0;5.3
20111;6.4;54.9;2.1;51.4;3.9
20121;4.1;52.3;2.3;50.1;3.8
20131;7.3;53.0;2.5;49.1;2.9
20012;13.1;53.5;6.0;46.5;7.4
20042;11.9;56.2;5.7;49.5;6.0
20052;9.6;55.6;2.8;50.3;6.3
20062;9.0;54.7;5.0;49.8;5.7
20072;6.4;55.5;3.4;52.0;4.9
20082;5.5;53.7;2.0;50.7;5.2
20092;5.8;54.1;4.0;50.9;4.7
20102;5.6;55.0;4.4;51.9;4.5
20112;6.2;55.5;3.1;52.1;4.2
20122;5.6;52.9;3.1;49.9;5.4
20033;13.0;52.7;5.3;45.8;7.7
20043;9.7;53.0;5.7;47.9;6.8
20053;7.7;54.7;3.8;50.5;5.0
20013;9.2;55.2;4.2;50.1;5.3
20073;0;0;0;0;0
20083;5.3;53.7;3.3;50.8;4.0
20093;7.7;53.2;3.3;49.1;2.9
20103;5.5;53.9;2.6;50.9;3.2
20113;5.2;54.8;3.3;51.9;5.0
20123;5.0;53.2;2.6;50.6;4.6
