Periodo;Desocupacion;Actividad;subocupacion_no_demandante;empleo;subocupacion_demandante
20031;0;0;0;0;0
20033;0;0;0;0;0
20034;0;0;0;0;0
20041;0;0;0;0;0
20042;0;0;0;0;0
20043;0;0;0;0;0
20044;0;0;0;0;0
20051;0;0;0;0;0
20052;0;0;0;0;0
20053;0;0;0;0;0
20054;0;0;0;0;0
20061;0;0;0;0;0
20062;0;0;0;0;0
20071;7.6;37.0;1.9;34.2;7.5
20072;8.7;40.1;2.9;36.6;7.6
20073;5.9;42.4;2.4;39.9;9.9
20074;8.2;41.0;3.7;37.7;7.5
20081;8.6;38.7;2.6;35.4;10.1
20082;8.0;40.5;2.7;37.2;11.7
20083;7.1;40.4;1.9;37.5;8.7
20084;4.3;40.6;3.5;38.9;7.0
20091;6.7;43.1;2.3;40.2;6.9
20092;6.8;42.1;3.3;39.2;8.3
20093;6.0;40.5;2.6;38.1;12.0
20094;5.6;41.6;3.9;39.2;12.5
20101;6.4;42.0;2.4;39.3;7.6
20102;7.1;41.2;1.2;38.3;9.9
20103;5.0;40.5;1.9;38.5;5.7
20104;4.1;40.4;0.8;38.7;6.3
20111;6.3;42.7;1.9;40.1;4.9
20112;5.0;42.6;1.4;40.5;5.8
20113;3.9;42.6;1.4;40.9;7.2
20114;5.4;39.3;0.8;37.2;4.6
20121;7.6;42.5;0.4;39.3;5.0
20122;4.3;40.6;0.1;38.9;3.7
20123;4.8;41.9;1.5;39.9;3.3
20124;4.2;38.7;0.2;37.1;4.6
20131;4.6;40.4;0.6;38.6;4.6
20032;0;0;0;0;0
20063;6.3;43.3;4.6;40.6;13.4
20064;7.7;40.0;2.5;37.0;7.5
