Periodo;Desocupacion;Actividad;subocupacion_no_demandante;empleo;subocupacion_demandante
20031;0;0;0;0;0
20033;0;0;0;0;0
20034;0;0;0;0;0
20041;0;0;0;0;0
20042;0;0;0;0;0
20043;0;0;0;0;0
20044;0;0;0;0;0
20051;0;0;0;0;0
20052;0;0;0;0;0
20053;0;0;0;0;0
20054;0;0;0;0;0
20061;0;0;0;0;0
20062;0;0;0;0;0
20071;6.7;40.2;1.5;37.5;4.6
20072;4.5;44.3;2.7;42.3;4.5
20073;5.7;44.7;3.1;42.1;7.8
20074;5.3;45.4;3.0;43.0;3.6
20081;4.4;45.0;2.1;43.0;5.3
20082;5.9;44.8;2.1;42.1;5.5
20083;4.1;45.2;1.7;43.4;7.4
20084;3.9;43.2;1.7;41.5;5.7
20091;3.0;39.9;3.2;38.7;4.3
20092;6.1;44.2;1.9;41.4;4.3
20093;3.1;46.6;1.6;45.2;3.8
20094;2.7;45.4;2.9;44.2;2.0
20101;3.6;42.8;2.0;41.3;4.6
20102;3.7;43.8;1.7;42.1;3.0
20103;5.1;45.6;0.4;43.3;5.5
20104;2.3;44.0;1.1;43.0;5.0
20111;4.4;43.0;1.3;41.1;1.4
20112;4.2;44.1;0.7;42.2;1.6
20113;1.7;45.0;1.0;44.3;3.4
20114;1.8;43.1;1.0;42.3;2.9
20121;1.7;44.7;0.6;44.0;1.6
20122;3.1;44.0;0.3;42.6;1.0
20123;1.1;43.0;0.3;42.5;1.0
20124;1.4;41.1;0.2;40.5;2.1
20131;2.3;42.4;0.2;41.4;1.8
20032;0;0;0;0;0
20063;6.6;42.8;1.6;40.0;8.0
20064;5.2;43.0;2.7;40.7;4.3
