Periodo;Desocupacion;Actividad;subocupacion_no_demandante;empleo;subocupacion_demandante
20031;0;0;0;0;0
20033;0;0;0;0;0
20034;0;0;0;0;0
20041;0;0;0;0;0
20042;0;0;0;0;0
20043;0;0;0;0;0
20044;0;0;0;0;0
20051;0;0;0;0;0
20052;0;0;0;0;0
20053;0;0;0;0;0
20054;0;0;0;0;0
20061;0;0;0;0;0
20062;0;0;0;0;0
20071;4.0;37.8;2.1;36.3;2.9
20072;5.3;39.5;1.0;37.4;5.5
20073;3.2;39.9;1.0;38.6;4.5
20074;4.2;39.6;2.1;37.9;4.1
20081;6.9;41.1;1.6;38.2;3.8
20082;5.8;39.0;1.7;36.7;5.0
20083;5.1;37.8;3.0;35.9;3.9
20084;2.2;37.0;0.8;36.2;3.1
20091;5.9;37.1;2.0;34.9;2.6
20092;3.7;39.3;1.3;37.8;8.1
20093;4.3;39.2;1.0;37.5;6.3
20094;2.7;38.7;2.3;37.7;4.4
20101;1.7;35.7;1.0;35.0;2.4
20102;4.7;40.8;0.6;38.9;5.0
20103;5.0;41.8;1.3;39.7;3.9
20104;5.0;39.5;0.5;37.6;5.5
20111;3.4;41.1;0.8;39.7;4.4
20112;3.4;43.0;1.2;41.6;5.3
20113;3.0;40.0;2.6;38.8;4.8
20114;0.9;38.9;1.5;38.6;2.2
20121;1.8;38.0;0.5;37.3;1.9
20122;3.0;40.2;1.9;39.0;3.7
20123;1.6;41.1;2.7;40.4;3.1
20124;3.6;40.0;0.8;38.6;3.5
20131;3.4;39.4;2.4;38.1;4.2
20032;0;0;0;0;0
20063;5.0;41.3;1.6;39.3;6.8
20064;4.1;39.2;1.5;37.6;6.6
