Periodo;Desocupacion;Actividad;subocupacion_no_demandante;empleo;subocupacion_demandante
20031;22.4;44.1;6.1;34.2;10.1
20032;22.9;44.6;7.0;34.4;8.5
20033;19.4;44.4;4.7;35.8;10.0
20034;16.6;44.3;3.5;36.9;8.5
20041;17.2;44.3;3.0;36.7;7.7
20042;15.7;44.7;3.7;37.7;9.4
20043;16.2;46.0;2.4;38.5;7.3
20044;14.4;44.3;2.8;38.0;6.4
20051;14.0;43.4;2.0;37.3;8.7
20052;12.4;46.0;1.8;40.2;7.0
20053;12.4;46.3;1.6;40.6;6.8
20054;11.7;45.6;1.6;40.3;6.7
20061;14.6;45.0;1.0;38.4;7.2
20062;12.8;45.9;2.1;40.1;6.5
20063;11.2;47.3;1.9;42.0;6.4
20064;9.5;46.8;1.9;42.4;6.1
20071;10.4;45.9;2.2;41.1;4.7
20072;11.2;46.5;1.0;41.3;4.6
20073;10.4;46.7;1.6;41.9;5.7
20074;9.0;47.4;1.2;43.1;6.1
20081;8.3;46.3;2.4;42.5;4.5
20082;9.7;48.2;1.5;43.5;5.8
20083;9.4;46.1;1.5;41.7;5.9
20084;7.7;46.1;1.7;42.6;6.5
20091;10.8;48.1;2.6;42.9;5.7
20092;10.8;45.5;3.1;40.6;6.8
20093;10.3;46.1;3.0;41.4;6.1
20094;10.6;46.4;3.8;41.5;5.3
20101;10.8;48.2;2.8;43.0;8.3
20102;9.0;46.8;2.9;42.6;6.6
20103;8.0;46.0;2.8;42.3;5.7
20104;7.8;45.9;3.2;42.3;6.5
20111;7.0;46.4;2.1;43.2;6.9
20112;7.4;47.0;2.3;43.5;4.5
20113;7.8;46.4;3.2;42.7;4.9
20114;8.1;47.1;1.5;43.3;4.1
20121;9.8;47.7;2.6;43.1;4.8
20122;8.3;47.4;2.8;43.5;4.2
20123;7.7;45.9;4.5;42.3;5.0
20124;8.6;47.4;2.3;43.3;5.3
20131;8.6;49.0;2.0;44.8;5.4
