Periodo;Desocupacion;Actividad;subocupacion_no_demandante;empleo;subocupacion_demandante
20031;0;0;0;0;0
20033;0;0;0;0;0
20034;0;0;0;0;0
20041;0;0;0;0;0
20042;0;0;0;0;0
20043;0;0;0;0;0
20044;0;0;0;0;0
20051;0;0;0;0;0
20052;0;0;0;0;0
20053;0;0;0;0;0
20054;0;0;0;0;0
20061;0;0;0;0;0
20062;0;0;0;0;0
20071;1.9;41.2;0.8;40.4;5.5
20072;1.6;40.5;0.7;39.9;4.3
20073;1.3;43.2;1.0;42.6;4.9
20074;1.4;43.2;1.9;42.6;2.4
20081;1.5;41.2;0.6;40.6;2.9
20082;1.6;42.0;1.1;41.3;3.6
20083;1.0;42.8;1.8;42.4;3.2
20084;1.1;40.2;1.0;39.7;2.1
20091;2.7;40.2;0.3;39.1;1.8
20092;1.9;42.7;1.5;41.9;2.6
20093;2.7;41.7;1.9;40.6;3.6
20094;2.0;39.9;0.6;39.1;3.5
20101;2.2;40.0;0.6;39.1;4.0
20102;1.5;38.7;0.7;38.1;2.2
20103;1.8;38.4;0.6;37.7;2.7
20104;0.8;39.7;0.7;39.4;1.9
20111;2.1;39.4;0.5;38.6;3.1
20112;2.3;39.0;0.7;38.1;5.8
20113;1.9;38.9;0.5;38.2;2.8
20114;1.3;38.4;0.3;37.9;2.0
20121;1.9;39.8;0.5;39.1;0.9
20122;2.4;40.7;0.9;39.7;2.2
20123;2.6;39.8;1.2;38.8;2.3
20124;2.0;40.2;1.5;39.4;2.8
20131;2.0;40.5;0.1;39.7;2.1
20032;0;0;0;0;0
20063;2.1;42.0;2.0;41.2;5.3
20064;1.8;42.9;1.3;42.1;4.6
