Periodo;Desocupacion;Actividad;subocupacion_no_demandante;empleo;subocupacion_demandante
20031;0;0;0;0;0
20033;0;0;0;0;0
20034;0;0;0;0;0
20041;0;0;0;0;0
20042;0;0;0;0;0
20043;0;0;0;0;0
20044;0;0;0;0;0
20051;0;0;0;0;0
20052;0;0;0;0;0
20053;0;0;0;0;0
20054;0;0;0;0;0
20061;0;0;0;0;0
20062;0;0;0;0;0
20071;1.7;44.8;0.1;44.1;1.3
20072;2.8;47.3;0.4;46.0;1.3
20073;2.4;47.6;-;46.4;1.2
20074;1.8;46.2;-;45.3;0.6
20081;2.2;46.4;0.4;45.4;1.1
20082;2.2;46.9;0.1;45.9;0.8
20083;1.3;48.4;0.4;47.7;1.3
20084;2.3;46.5;1.1;45.4;1.1
20091;2.7;48.0;0.3;46.7;1.6
20092;2.7;49.6;-;48.3;1.4
20093;3.7;49.7;0.5;47.9;1.7
20094;2.1;48.3;0.7;47.3;2.7
20101;2.6;46.6;0.5;45.4;1.5
20102;1.4;49.5;0.7;48.8;4.8
20103;2.6;47.8;0.4;46.6;4.5
20104;2.5;46.2;1.0;45.1;2.2
20111;2.4;46.8;0.2;45.7;1.9
20112;2.2;49.2;0.6;48.2;1.6
20113;2.3;48.2;0.2;47.1;1.2
20114;2.1;47.9;0.5;46.9;1.6
20121;3.9;48.4;0.2;46.5;1.4
20122;3.9;49.0;0.9;47.1;2.4
20123;2.9;47.0;1.4;45.6;1.6
20124;4.1;47.9;0.7;45.9;0.9
20131;4.3;45.1;0.4;43.2;1.3
20032;0;0;0;0;0
20063;2.1;46.5;0.4;45.5;1.9
20064;1.2;44.6;1.4;44.1;1.4
