Periodo;Desocupacion;Actividad;subocupacion_no_demandante;empleo;subocupacion_demandante
20031;0;0;0;0;0
20033;0;0;0;0;0
20034;0;0;0;0;0
20041;0;0;0;0;0
20042;0;0;0;0;0
20043;0;0;0;0;0
20044;0;0;0;0;0
20051;0;0;0;0;0
20052;0;0;0;0;0
20053;0;0;0;0;0
20054;0;0;0;0;0
20061;0;0;0;0;0
20062;0;0;0;0;0
20071;7.8;38.6;1.0;35.6;7.6
20072;6.7;39.8;1.0;37.1;5.9
20073;6.4;38.8;1.6;36.3;8.7
20074;5.4;38.7;2.0;36.6;6.5
20081;5.8;40.3;0.9;38.0;5.8
20082;6.1;40.8;1.5;38.3;5.7
20083;5.0;40.8;1.3;38.7;6.0
20084;3.1;38.5;2.4;37.3;6.3
20091;5.2;38.7;1.0;36.7;5.0
20092;4.7;38.7;1.8;36.9;11.0
20093;6.1;38.2;2.1;35.9;9.1
20094;5.4;38.7;1.8;36.6;9.0
20101;6.9;37.3;0.8;34.7;9.2
20102;6.2;37.2;0.6;34.9;7.2
20103;5.6;37.6;0.2;35.4;7.3
20104;5.5;37.9;1.0;35.9;7.7
20111;6.3;38.5;0.5;36.1;7.1
20112;6.1;39.1;1.1;36.7;6.7
20113;9.2;41.2;1.8;37.4;9.9
20114;6.3;38.2;0.8;35.8;9.4
20121;7.3;39.2;-;36.3;11.4
20122;10.0;41.4;1.4;37.3;7.8
20123;7.5;43.7;7.9;40.4;4.6
20124;6.7;39.6;2.1;37.0;9.0
20131;4.6;39.9;0.8;38.1;11.5
20032;0;0;0;0;0
20063;7.3;39.8;0.9;36.9;4.7
20064;4.6;39.6;1.8;37.8;6.7
