Periodo;Desocupacion;Actividad;subocupacion_no_demandante;empleo;subocupacion_demandante
20031;21.2;41.7;4.8;32.9;19.0
20033;12.9;39.6;4.1;34.5;17.1
20034;15.2;42.7;5.4;36.2;15.6
20041;16.5;41.6;3.0;34.8;13.2
20042;13.6;37.9;3.6;32.7;14.9
20043;14.4;40.2;2.4;34.4;13.2
20044;11.4;41.2;2.6;36.5;14.1
20051;14.2;40.9;3.0;35.1;15.5
20052;11.3;40.4;3.9;35.8;12.5
20053;13.1;42.1;5.3;36.6;10.0
20054;10.9;41.9;4.2;37.3;8.4
20061;13.4;40.8;4.2;35.3;11.1
20062;11.8;40.3;2.7;35.5;12.4
20071;11.8;40.9;4.2;36.0;9.5
20072;9.8;39.7;4.1;35.8;7.4
20073;8.0;41.8;3.6;38.5;5.3
20074;8.2;41.4;3.6;38.0;6.3
20081;11.5;40.6;2.4;35.9;4.9
20082;7.7;41.6;2.1;38.4;6.8
20083;7.7;42.9;3.0;39.6;5.5
20084;9.7;43.9;2.0;39.6;5.2
20091;11.8;41.3;3.0;36.4;5.8
20092;9.7;41.2;2.8;37.1;5.4
20093;10.0;44.3;1.3;39.9;4.4
20094;8.1;44.8;1.7;41.2;6.2
20101;8.7;44.2;2.6;40.3;6.3
20102;5.2;44.6;2.3;42.3;9.2
20103;5.4;43.3;1.5;40.9;6.5
20104;5.6;42.5;2.5;40.2;5.3
20111;4.9;42.9;2.9;40.8;8.2
20112;4.4;43.3;2.1;41.3;5.0
20113;3.3;43.6;2.6;42.1;5.5
20114;3.1;43.6;1.9;42.2;5.5
20121;4.5;44.0;1.1;42.0;4.2
20122;3.8;42.8;1.6;41.2;8.3
20123;4.3;42.8;2.2;41.0;6.5
20124;3.9;43.3;1.2;41.6;4.1
20131;5.7;43.4;2.6;40.9;6.4
20032;15.0;39.2;6.6;33.3;16.1
20063;11.3;42.0;3.2;37.3;7.5
20064;9.4;42.5;3.9;38.5;8.6
