Periodo,Desocupacion,Actividad,subocupacion_no_demandante,empleo,subocupacion_demandante,provincia_id
20031,23.1,46.5,6.8,35.8,15.0,1
20033,19.3,46.9,5.5,37.8,13.8,1
20034,17.1,45.8,5.6,37.9,13.4,1
20041,15.5,45.4,6.9,38.3,12.6,1
20042,17.3,46.4,4.9,38.4,12.6,1
20043,15.5,47.4,5.8,40.0,12.5,1
20044,14.8,47.0,5.7,40.1,11.3,1
20051,15.5,45.6,4.6,38.6,10.4,1
20052,14.9,45.3,5.1,38.6,10.8,1
20053,13.6,47.0,5.4,40.6,10.8,1
20054,12.1,46.4,4.5,40.8,9.9,1
20061,13.6,47.4,4.1,40.9,9.1,1
20062,12.1,47.6,4.6,41.8,9.3,1
20071,11.9,47.1,3.8,41.5,7.4,1
20072,9.8,46.8,3.6,42.2,8.7,1
20073,0,0,0,0,0,1
20074,8.3,45.2,3.9,41.5,6.8,1
20081,9.9,46.0,3.2,41.5,6.8,1
20082,9.5,46.1,3.0,41.7,6.4,1
20083,9.7,46.3,3.4,41.9,7.2,1
20084,8.5,46.4,4.3,42.5,6.7,1
20091,8.7,46.7,3.9,42.6,6.5,1
20092,10.0,46.5,3.8,41.8,8.9,1
20093,10.6,47.3,4.3,42.3,9.4,1
20094,10.1,47.5,4.8,42.7,7.9,1
20101,8.8,46.7,3.7,42.6,7.0,1
20102,9.0,46.6,4.0,42.4,7.4,1
20103,9.2,47.1,3.7,42.7,6.9,1
20104,8.7,46.7,3.6,42.7,5.9,1
20111,8.4,45.7,3.4,41.8,6.8,1
20112,8.5,47.2,3.5,43.2,6.2,1
20113,8.6,47.5,3.4,43.4,6.4,1
20114,8.3,46.9,3.8,43.0,7.1,1
20121,8.7,45.7,3.6,41.7,5.9,1
20122,8.4,46.4,3.6,42.5,8.4,1
20123,9.5,48.5,3.2,43.9,7.5,1
20124,7.9,47.4,3.6,43.7,7.9,1
20131,9.4,46.1,3.5,41.7,6.7,1
20032,20.6,46.1,6.3,36.6,14.1,1
20063,12.1,46.6,4.5,41.0,8.6,1
20064,10.9,46.8,4.2,41.7,9.3,1
20031,0,0,0,0,0,9
20033,0,0,0,0,0,9
20034,0,0,0,0,0,9
20041,0,0,0,0,0,9
20042,0,0,0,0,0,9
20043,0,0,0,0,0,9
20044,0,0,0,0,0,9
20051,0,0,0,0,0,9
20052,0,0,0,0,0,9
20053,0,0,0,0,0,9
20054,0,0,0,0,0,9
20061,0,0,0,0,0,9
20062,0,0,0,0,0,9
20071,3.6,34.6,1.5,33.3,4.5,9
20072,3.6,35.0,2.0,33.8,3.9,9
20073,3.1,36.4,0.8,35.3,2.3,9
20074,3.2,33.8,1.4,32.7,2.3,9
20081,2.8,34.8,0.5,33.8,1.7,9
20082,2.9,33.4,0.8,32.4,1.2,9
20083,2.7,35.1,1.0,34.2,1.8,9
20084,2.3,31.3,2.0,30.6,2.9,9
20091,2.0,32.5,0.4,31.8,2.0,9
20092,3.8,34.7,1.7,33.4,1.2,9
20093,3.7,33.7,0.8,32.5,2.4,9
20094,2.1,33.9,0.8,33.2,2.8,9
20101,2.5,33.2,0.2,32.4,1.0,9
20102,2.5,32.4,0.4,31.6,2.4,9
20103,2.2,32.1,1.4,31.4,1.9,9
20104,2.3,32.3,0.9,31.5,1.8,9
20111,2.0,33.2,0.8,32.5,0.8,9
20112,2.2,33.2,0.5,32.5,1.1,9
20113,2.3,34.4,0.9,33.6,0.8,9
20114,2.2,32.2,0.4,31.5,1.0,9
20121,1.8,34.5,0.9,33.9,1.9,9
20122,2.6,35.5,1.0,34.6,1.2,9
20123,2.5,35.2,0.9,34.3,2.8,9
20124,2.0,34.2,0.9,33.5,2.3,9
20131,1.5,34.5,0.6,33.9,2.8,9
20031,0,0,0,0,0,17
20033,0,0,0,0,0,17
20034,0,0,0,0,0,17
20041,0,0,0,0,0,17
20042,0,0,0,0,0,17
20043,0,0,0,0,0,17
20044,0,0,0,0,0,17
20051,0,0,0,0,0,17
20052,0,0,0,0,0,17
20053,0,0,0,0,0,17
20054,0,0,0,0,0,17
20061,0,0,0,0,0,17
20062,0,0,0,0,0,17
20071,10.5,42.4,1.9,37.9,6.6,17
20072,10.5,42.0,1.7,37.5,6.8,17
20073,8.9,40.9,2.5,37.3,7.2,17
20074,9.6,41.9,3.0,37.9,9.1,17
20081,8.6,41.4,2.4,37.9,7.6,17
20082,7.7,42.5,2.5,39.3,8.4,17
20083,8.6,41.4,2.6,37.8,8.2,17
20084,11.9,41.8,2.7,36.8,6.9,17
20091,9.8,44.1,2.0,39.8,8.9,17
20092,10.2,43.3,2.0,38.9,7.9,17
20093,7.0,41.3,1.6,38.4,7.5,17
20094,8.0,43.0,1.7,39.5,5.8,17
20101,11.1,43.1,2.6,38.3,8.9,17
20102,10.6,45.0,1.9,40.2,10.3,17
20103,11.5,45.7,2.9,40.4,7.8,17
20104,9.2,44.7,2.3,40.6,5.7,17
20111,11.7,44.2,2.1,39.1,5.3,17
20112,11.5,44.4,2.9,39.3,7.6,17
20113,9.7,44.7,2.8,40.4,7.6,17
20114,7.9,44.4,2.0,40.9,4.9,17
20121,11.0,42.4,0.9,37.7,5.2,17
20122,10.9,44.1,1.0,39.3,3.1,17
20123,12.0,46.3,0.8,40.7,2.6,17
20124,7.2,44.4,0.4,41.2,3.6,17
20131,10.6,45.6,1.3,40.8,5.2,17
20032,0,0,0,0,0,17
20063,11.8,42.9,1.6,37.8,6.7,17
20064,11.6,42.2,2.9,37.3,10.3,17
20031,0,0,0,0,0,10
20033,0,0,0,0,0,10
20034,0,0,0,0,0,10
20041,0,0,0,0,0,10
20042,0,0,0,0,0,10
20043,0,0,0,0,0,10
20044,0,0,0,0,0,10
20051,0,0,0,0,0,10
20052,0,0,0,0,0,10
20053,0,0,0,0,0,10
20054,0,0,0,0,0,10
20061,0,0,0,0,0,10
20062,0,0,0,0,0,10
20071,7.6,37.0,1.9,34.2,7.5,10
20072,8.7,40.1,2.9,36.6,7.6,10
20073,5.9,42.4,2.4,39.9,9.9,10
20074,8.2,41.0,3.7,37.7,7.5,10
20081,8.6,38.7,2.6,35.4,10.1,10
20082,8.0,40.5,2.7,37.2,11.7,10
20083,7.1,40.4,1.9,37.5,8.7,10
20084,4.3,40.6,3.5,38.9,7.0,10
20091,6.7,43.1,2.3,40.2,6.9,10
20092,6.8,42.1,3.3,39.2,8.3,10
20093,6.0,40.5,2.6,38.1,12.0,10
20094,5.6,41.6,3.9,39.2,12.5,10
20101,6.4,42.0,2.4,39.3,7.6,10
20102,7.1,41.2,1.2,38.3,9.9,10
20103,5.0,40.5,1.9,38.5,5.7,10
20104,4.1,40.4,0.8,38.7,6.3,10
20111,6.3,42.7,1.9,40.1,4.9,10
20112,5.0,42.6,1.4,40.5,5.8,10
20113,3.9,42.6,1.4,40.9,7.2,10
20114,5.4,39.3,0.8,37.2,4.6,10
20121,7.6,42.5,0.4,39.3,5.0,10
20122,4.3,40.6,0.1,38.9,3.7,10
20123,4.8,41.9,1.5,39.9,3.3,10
20124,4.2,38.7,0.2,37.1,4.6,10
20131,4.6,40.4,0.6,38.6,4.6,10
20032,0,0,0,0,0,10
20063,6.3,43.3,4.6,40.6,13.4,10
20064,7.7,40.0,2.5,37.0,7.5,10
20031,0,0,0,0,0,14
20033,0,0,0,0,0,14
20034,0,0,0,0,0,14
20041,0,0,0,0,0,14
20042,0,0,0,0,0,14
20043,0,0,0,0,0,14
20044,0,0,0,0,0,14
20051,0,0,0,0,0,14
20052,0,0,0,0,0,14
20053,0,0,0,0,0,14
20054,0,0,0,0,0,14
20061,0,0,0,0,0,14
20062,0,0,0,0,0,14
20071,4.0,37.8,2.1,36.3,2.9,14
20072,5.3,39.5,1.0,37.4,5.5,14
20073,3.2,39.9,1.0,38.6,4.5,14
20074,4.2,39.6,2.1,37.9,4.1,14
20081,6.9,41.1,1.6,38.2,3.8,14
20082,5.8,39.0,1.7,36.7,5.0,14
20083,5.1,37.8,3.0,35.9,3.9,14
20084,2.2,37.0,0.8,36.2,3.1,14
20091,5.9,37.1,2.0,34.9,2.6,14
20092,3.7,39.3,1.3,37.8,8.1,14
20093,4.3,39.2,1.0,37.5,6.3,14
20094,2.7,38.7,2.3,37.7,4.4,14
20101,1.7,35.7,1.0,35.0,2.4,14
20102,4.7,40.8,0.6,38.9,5.0,14
20103,5.0,41.8,1.3,39.7,3.9,14
20104,5.0,39.5,0.5,37.6,5.5,14
20111,3.4,41.1,0.8,39.7,4.4,14
20112,3.4,43.0,1.2,41.6,5.3,14
20113,3.0,40.0,2.6,38.8,4.8,14
20114,0.9,38.9,1.5,38.6,2.2,14
20121,1.8,38.0,0.5,37.3,1.9,14
20122,3.0,40.2,1.9,39.0,3.7,14
20123,1.6,41.1,2.7,40.4,3.1,14
20124,3.6,40.0,0.8,38.6,3.5,14
20131,3.4,39.4,2.4,38.1,4.2,14
20032,0,0,0,0,0,14
20063,5.0,41.3,1.6,39.3,6.8,14
20064,4.1,39.2,1.5,37.6,6.6,14
20031,0,0,0,0,0,3
20033,0,0,0,0,0,3
20034,0,0,0,0,0,3
20041,0,0,0,0,0,3
20042,0,0,0,0,0,3
20043,0,0,0,0,0,3
20044,0,0,0,0,0,3
20051,0,0,0,0,0,3
20052,0,0,0,0,0,3
20053,0,0,0,0,0,3
20054,0,0,0,0,0,3
20061,0,0,0,0,0,3
20062,0,0,0,0,0,3
20071,6.7,32.7,1.0,30.5,4.5,3
20072,5.6,32.5,3.1,30.7,6.8,3
20073,6.5,35.1,1.6,32.9,5.5,3
20074,5.8,34.2,2.6,32.2,5.2,3
20081,4.3,33.3,1.4,31.8,3.0,3
20082,5.0,35.2,2.3,33.4,5.8,3
20083,3.7,35.4,3.6,34.1,3.5,3
20084,2.4,32.9,3.3,32.1,3.6,3
20091,4.0,34.8,1.6,33.4,4.0,3
20092,2.2,33.2,1.9,32.4,2.6,3
20093,2.9,33.0,1.1,32.1,3.1,3
20094,1.8,32.4,1.7,31.9,2.3,3
20101,3.5,33.4,1.1,32.2,2.4,3
20102,4.2,33.0,1.8,31.6,3.3,3
20103,5.0,34.1,1.6,32.4,3.4,3
20104,0.9,31.4,1.1,31.1,2.7,3
20111,2.3,31.7,0.3,30.9,0.9,3
20112,2.7,33.9,1.2,33.0,1.8,3
20113,3.4,38.8,1.7,37.5,5.6,3
20114,3.7,35.1,0.7,33.8,1.5,3
20121,1.9,34.4,0.2,33.7,0.5,3
20122,0.4,34.6,0.2,34.5,0.4,3
20123,0.6,34.6,0,34.4,0,3
20124,2.1,33.7,0.6,33.0,0.9,3
