Periodo,Desocupacion,Actividad,subocupacion_no_demandante,empleo,subocupacion_demandante,
20031,0,0,0,0,0,16
20033,0,0,0,0,0,16
20034,0,0,0,0,0,16
20041,0,0,0,0,0,16
20042,0,0,0,0,0,16
20043,0,0,0,0,0,16
20044,0,0,0,0,0,16
20051,0,0,0,0,0,16
20052,0,0,0,0,0,16
20053,0,0,0,0,0,16
20054,0,0,0,0,0,16
20061,0,0,0,0,0,16
20062,0,0,0,0,0,16
20071,8.9,44.1,2.7,40.2,4.9,16
20072,6.9,44.9,2.7,41.9,3.4,16
20073,6.9,45.4,4.2,42.3,3.5,16
20074,8.6,45.0,1.8,41.1,3.9,16
20081,11.1,46.0,1.5,40.9,3.0,16
20082,9.9,46.7,3.7,42.1,6.5,16
20083,8.8,46.5,4.7,42.4,6.2,16
20084,9.8,48.4,3.0,43.6,6.2,16
20091,11.5,46.3,3.1,41.0,4.4,16
20092,11.5,45.5,4.6,40.3,5.4,16
20093,9.8,45.1,3.9,40.7,4.6,16
20094,10.0,47.3,4.0,42.6,7.5,16
20101,9.0,44.9,2.7,40.8,6.1,16
20102,7.1,44.4,2.0,41.3,4.5,16
20103,6.7,44.9,2.9,41.9,2.1,16
20104,5.2,44.3,3.9,42.0,3.1,16
20111,4.4,43.4,1.2,41.5,3.0,16
20112,4.9,42.6,1.2,40.5,4.3,16
20113,2.0,43.5,1.7,42.6,3.3,16
20114,3.4,43.0,1.1,41.5,3.5,16
20121,7.0,41.8,0.4,38.9,2.0,16
20122,5.1,41.7,1.8,39.6,2.5,16
20123,7.4,44.9,1.1,41.6,3.1,16
20124,6.4,45.1,1.7,42.2,5.0,16
20131,7.8,44.8,1.8,41.3,4.7,16
20032,0,0,0,0,0,16
20063,12.5,49.5 ,5,6 ,43.3 ,6,0 ,16
20064,7.9,46.1,2.7,42.5,4.7,16
